SMOC1|Q9H4F8-2
DLGAP1|O14490-7
RPL24|P83731
ADCYAP1R1|P41586-3
SRI|P30626
ENTPD2|Q9Y5L3
GABRD|O14764
SPP1|P10451
NCOA7|Q8NI08
HMGN2|P05204
ZADH2|Q8N4Q0
CHL1|O00533
BSCL2|J3KQ12
ADCYAP1R1|P41586-4
NOMO1|A0A087X117
SEC11C|Q9BY50
DGKB|B5MBY2
ITGB2|P05107
PIK3R4|Q99570
MPRIP|H7C3G6
PEX5L|Q8IYB4
ARL3|P36405
GGT7|Q9UJ14
EPB41L2|O43491
DYNC1I2|Q13409
NCAN|O14594
GRK5|P34947
MAGED2|Q9UNF1
LETMD1|Q6P1Q0-7
IDH3A|H0YKD0
ATL1|Q8WXF7
DIRAS2|Q96HU8
RAD50|Q92878-2
CSNK2A1|Q5U5J2
DDX58|O95786
DLGAP4|F8WF49
DTNA|Q9Y4J8-11
ARFGAP1|Q8N6T3
TIMM13|Q9Y5L4
GLS2|Q9UI32
C6orf136|H7C4U4
MTSS1|O43312
RPL17-C18orf32|A0A0A6YYL6
MAP1LC3A|Q9H492-2
TAX1BP1|B8ZZD4
SSFA2|P28290
DCLK1|O15075-2
LGALSL|Q3ZCW2
TAX1BP1|Q86VP1-2
GABRG2|P18507-3
PSMB7|Q99436
NCF1B|A6NI72
GNPDA1|P46926
KIAA1143|Q96AT1
LIMA1|Q9UHB6
CHL1|O00533-2
OSBPL3|Q9H4L5
MTSS1|O43312-5
ATP6V1E1|P36543
PEX14|O75381
SPEN|Q96T58
NUDT14|O95848
PRRC1|Q96M27-2
RAB3A|P20336
RPL36|Q9Y3U8
AKT3|Q9Y243
SYNGAP1|B7ZCA0
GYG1|P46976
MECP2|A0A087WXF0
MAPK8IP2|Q13387
TM9SF1|E9PSI1
GOPC|Q9HD26
TJP2|Q9UDY2-2
PTER|Q96BW5
ARFGAP1|Q8N6T3-2
PRRC1|Q96M27
TLN2|Q9Y4G6
ATP1A3|P13637-3
FCGBP|A0A087WXI2
SCRN3|A0A087WW14
FCGBP|Q9Y6R7
VTI1A|Q96AJ9
FNTA|P49354
NDUFA11|Q86Y39-2
AAK1|Q2M2I8
SGIP1|Q9BQI5-2
PALLD|Q8WX93-9
LDHB|P07195
DYNLL2|Q96FJ2
ANP32B|Q92688
TMX1|Q9H3N1
C19orf26|K7EJP2
SRPR|P08240
CALB2|P22676
VIM|P08670
RPS4X|P62701
PECR|Q9BY49
FXYD7|K7EKU3
VASP|P50552
ADD2|P35612
SGIP1|Q9BQI5-3
UBE2O|Q9C0C9
ANKS1B|Q7Z6G8-6
LIPA|P38571
SYT3|Q9BQG1
TESPA1|A2RU30
CLTA|P09496-3
DARS|P14868
STK10|O94804
DYNC1I2|Q13409-7
IGSF21|Q96ID5
SLC7A5|Q01650
FAM49B|A0A087X178
SGIP1|Q9BQI5
MTHFD1L|B7ZM99
EIF2B3|Q9NR50
CCT2|P78371
FARP1|C9JME2
ZFYVE27|Q5T4F4-3
CROCC|Q5TZA2
RABEP2|Q9H5N1
C9orf142|Q9BUH6
TBCB|Q99426
SMAD2|Q15796
NRD1|B1AKJ5
PDLIM3|Q53GG5
RAB6B|Q9NRW1
FGF1|P05230
TTPAL|Q9BTX7
BCAS3|Q9H6U6-7
UBE2E2|Q96LR5
TCP11L1|E9PJ55
GNA13|Q14344
MTHFD1L|Q6UB35
NPY|P01303
PAWR|Q96IZ0
RGCC|Q9H4X1
MARCKSL1|P49006
HSPA12A|O43301
ADCY9|O60503
CLTA|P09496
GABRG2|P18507-2
FARSA|K7ER00
ATP5J2-PTCD1|G3V325
GABRG2|P18507
KCNJ4|P48050
TFR2|Q9UP52
ELMOD1|Q8N336
ENO1|P06733-2
VWC2|Q2TAL6
NDUFB1|O75438-2
ADAM17|P78536
IRS1|P35568
RPE|Q96AT9
SH3GLB2|B7ZC38
HCLS1|P14317
SLC8A1|P32418-2
NDUFB1|O75438
IQSEC3|Q9UPP2
SNAP91|O60641-2
HIP1R|O75146
SYP|P08247
SERF2|P84101
FDXR|J3QQX3
C16orf58|Q96GQ5
IDH3B|A0A087WZN1
RAB9B|Q9NP90
TCP11L1|Q9NUJ3
DDHD1|Q8NEL9
CACNA1A|O00555-8
SPP1|P10451-3
BCAP29|Q9UHQ4
HNRNPM|P52272
TPD52L2|O43399-5
PTGFRN|Q9P2B2
FBXO41|Q8TF61
ALDH1L2|Q3SY69
OTUB1|J3KR44
LRP1|Q07954
BRAF|H7C560
TPD52L2|O43399-7
PDLIM5|Q96HC4
EMILIN2|Q9BXX0
GPI|A0A0A0MTS2
CIT|O14578-4
VWA5A|O00534
CGNL1|Q0VF96
DDHD1|Q8NEL9-4
DNPH1|O43598
SRGAP3|O43295
DNPH1|H0Y8X4
S100A10|P60903
HPRT1|P00492
GARS|P41250
CCT3|P49368
AIFM3|Q96NN9
SLK|Q9H2G2-2
SNPH|O15079-2
PALM2-AKAP2|B1ALY0
HIGD1A|Q9Y241-2
CAMK2A|Q9UQM7
HMGN4|O00479
PTPRS|A0A0A0MR60
CARHSP1|Q9Y2V2
OAT|P04181
APAF1|O14727
UQCR10|Q9UDW1
RCC2|Q9P258
IQGAP1|P46940
LIMA1|Q9UHB6-4
PHLDB1|A0A087WZL0
MOB1B|Q7L9L4-2
REEP2|Q9BRK0-2
C6orf136|Q5SQH8-4
SRGAP3|O43295-2
CHGB|P05060
FARP1|Q9Y4F1
MAP3K10|Q02779
SAMM50|Q9Y512
CHMP7|Q8WUX9
TLN2|H0YN01
CCT3|P49368-2
CACNA1A|O00555
DMD|A0A075B6G3
NT5C|Q8TCD5
RAB1B|Q9H0U4
OLFML3|Q9NRN5
IARS2|Q9NSE4
CSNK1D|P48730
SYNGR3|O43761
GPHN|Q9NQX3-2
MPP5|Q8N3R9
MAP3K3|Q99759-2
S100A4|P26447
PNP|P00491
CACNA1A|A0A087WW63
KIF21A|H0YIM7
ENPP2|Q13822-2
FAM134C|Q86VR2
MPV17|P39210
RPL13|P26373
CSNK1D|H7BYT1
VWC2L|B2RUY7
CSNK1D|P48730-2
CHDH|Q8NE62
ABR|Q12979
LRRC8B|Q6P9F7
TRIM9|Q9C026-4
ATP2B2|Q01814
LPAR1|Q92633-2
NECAP1|Q8NC96
NUMA1|Q14980-2
DLGAP1|A8MYR7
HNRNPM|A0A087X0X3
C1QA|P02745
TMEM47|Q9BQJ4
TSPAN3|O60637
HN1L|Q9H910-3
SF3B2|Q13435
DPP6|P42658-2
ANK3|Q12955
TRIM9|Q9C026
PTRHD1|Q6GMV3
MACROD1|Q9BQ69
SERBP1|Q8NC51
THYN1|Q9P016
RGS7BP|Q6MZT1
ACTB|E7EVS6
YBX1|P67809
MT-CO2|P00403
NDUFAF4|Q9P032
TUBB6|K7ES63
RPLP0|P05388
GSN|P06396
GABBR1|Q9UBS5
VLDLR|P98155
COMT|P21964
RPS18|P62269
OXCT1|P55809
FNTB|P49356
MRPL15|Q9P015
CSNK1G3|Q9Y6M4-2
DNM1L|O00429-8
FRRS1L|Q9P0K9
FDXR|A0A0A0MT64
PLBD2|Q8NHP8
MAGI3|Q5TCQ9
ATP5J2|C9JU26
ATCAY|Q86WG3-3
SMAD4|Q13485
PALM|O75781
SOD1|P00441
MAP1B|P46821
SLITRK4|Q8IW52
FBLN5|G3V4U0
PLEKHA7|E9PKC0
CAMSAP3|Q9P1Y5-2
KIF5B|P33176
YBX1|H0Y449
PSD3|Q9NYI0
TRIM3|O75382
SIPA1L1|O43166
BASP1|P80723
TIMM50|Q3ZCQ8-2
HIST2H2BC|Q6DN03
SYT5|O00445
FLT1|P17948-2
SH3BGRL|O75368
SCAMP1|O15126
SYNE1|Q8NF91
GALT|P07902
ATP2B3|Q16720-2
SMC3|Q9UQE7
NLGN2|Q8NFZ4
AVL9|Q8NBF6
DPM1|H0Y368
GNL1|P36915
MT-ND4|P03905
PRKACB|P22694
CRMP1|Q14194-2
ZC2HC1A|Q96GY0
MORF4L2|Q15014
MRPS15|P82914
PRRT3|Q5FWE3
STMN3|Q9NZ72
NUDT3|O95989
TOLLIP|Q9H0E2
GABRB1|P18505
MLC1|Q15049
AP2B1|P63010-3
SYNE1|A0A0C4DG40
MRPS11|P82912
CACNG2|Q9Y698
CSPG4|Q6UVK1
CTBP1|Q13363
CLIP1|P30622-2
FGF14|Q92915-2
TANC2|J3KTM5
SLIT2|X6R3P0
TP53BP1|Q12888-2
FCHO2|Q0JRZ9
CCDC9|Q9Y3X0
DHRS7B|Q6IAN0
NRXN3|Q9HDB5
ATP2B2|Q01814-2
PGD|P52209
PTAR1|Q7Z6K3
HNRNPA2B1|P22626
ATP6V1F|Q16864-2
FAM162A|Q96A26
PTGDS|P41222
EPB41L2|O43491-3
NSF|P46459
GSK3B|P49841-2
DNM3|H0YBC6
CTSD|F8W787
KLC2|Q9H0B6
CLNS1A|P54105
SFN|P31947
LMO7|J3KP06
MAP7D2|Q96T17-5
ACAD9|Q9H845
CSRP1|E9PND2
MARK3|J3KNR0
BRINP1|O60477
RBM22|Q9NW64
SMCR8|Q8TEV9
FDXR|P22570-7
HVCN1|Q96D96
PARP1|P09874
CAMSAP1|Q5T5Y3-3
ARF3|P61204
GPD1|P21695
LMO7|Q8WWI1
ATP6V0D1|F5GYQ1
EVL|Q9UI08-2
VPS8|Q8N3P4
RAB29|O14966
MAPKAPK2|P49137
MTM1|Q13496
MARK3|A0A0A0MT23
PHYHIPL|Q96FC7
CCDC124|Q96CT7
ITPR2|Q14571
CCDC92|Q53HC0
SRR|Q9GZT4
RPLP0P6|Q8NHW5
VPS51|Q9UID3
VPS8|C9JJN9
FADD|Q13158
FDXR|P22570-3
RPL27|K7ELC7
PSME2|A0A087X1Z3
HAX1|O00165-2
DLGAP1|A8MXQ8
TRAF2|Q12933
MAGI2|E7EWI0
PON2|Q15165
NIPSNAP1|Q9BPW8
C9orf172|C9J069
ALDH2|P05091
UBE2I|B0QYN7
PACSIN3|Q9UKS6
ANK2|I6L894
RASGRF1|Q13972
GNAO1|P09471
HNRNPK|P61978-2
LAMP2|P13473-3
SF1|Q15637-5
COMMD3-BMI1|R4GMX3
FHAD1|H0Y5P0
ADHFE1|Q8IWW8
PTGR1|Q14914
PTPRS|Q13332-3
STXBP1|P61764-2
CD99|H7C2F2
RPL8|P62917
HSPB11|Q9Y547
LAMP1|P11279
H2AFY|O75367
CHGA|G5E968
SLK|Q9H2G2
DGKB|Q9Y6T7
RABL6|Q3YEC7-2
TFE3|P19532
HMGB1|P09429
FABP5|Q01469
PHLDB1|Q86UU1
AK3|Q9UIJ7
PTPRS|Q13332-6
TXNRD1|Q16881
CLINT1|Q14677-3
ARPC5|O15511-2
FHAD1|B1AJZ9-3
GNG3|P63215
TRAPPC6B|Q86SZ2
RNF14|Q9UBS8
MLIP|H0Y8L5
ASCC3|Q8N3C0
CADPS|Q9ULU8
GRIN1|Q5VSF9
L1CAM|E7EMY4
MAP7|Q14244
HOOK1|Q9UJC3
CNTNAP2|Q9UHC6
PDK2|Q15119
TAMM41|Q96BW9-3
TROVE2|P10155
APLP2|Q06481
UNC93B1|Q9H1C4
CTNND1|E9PRE2
PTPN11|Q06124-2
DIAPH1|O60610
LGI1|O95970
RAP1GAP2|Q684P5
ACSL3|O95573
VCAN|P13611
WDR37|Q9Y2I8-2
RGS6|P49758-3
RAB34|Q9BZG1
VAT1L|Q9HCJ6
BAIAP3|O94812
CPNE9|Q8IYJ1
HGS|O14964
UCHL1|D6R974
DHX9|Q08211
ATCAY|Q86WG3
PIK3C3|Q8NEB9
SGIP1|Q9BQI5-4
CAP1|Q01518-2
GPR56|Q9Y653
ELAVL2|A0A0A0MRX1
CLIP1|P30622-1
PGP|A6NDG6
NOGENE|U3KQK5
KLK6|Q92876
MAPK10|P53779-2
GSTM1|E7EWW9
SNRPB|P14678-3
PFKFB4|Q16877
SHMT1|P34896
DYNC1I2|E7EMU4
MLIP|Q5VWP3-2
RIMBP2|O15034
LACE1|Q8WV93
DTNA|Q9Y4J8-10
BCAS1|O75363
SBF1|O95248
RAB34|A8MYQ9
CADM1|Q9BY67-5
SNX4|O95219
BOLA2|Q9H3K6
PPT1|P50897
SRP9|P49458
MAPK8|P45983
MAPK8|P45983-2
ESYT1|Q9BSJ8-2
VIMP|E9PN30
SBF1|O95248-4
PSMC6|A0A087X2I1
PCP4L1|A6NKN8
ANXA2|P07355-2
CADPS|Q9ULU8-4
TXNRD1|A0A087WSY9
MRPL48|Q96GC5
LIMS1|P48059-3
GLRX5|Q86SX6
ENSA|Q5T5H1
ARL6IP4|Q66PJ3-2
RABL6|Q3YEC7
SRPRB|Q9Y5M8
SH3GLB2|Q9NR46-2
UBE2I|P63279
SLC39A10|Q9ULF5
PRKRA|O75569
ROCK1|Q13464
GSTM1|P09488
FAM134A|Q8NC44
KATNAL1|Q9BW62
TMEM222|Q9H0R3
TMEM126A|Q9H061
MACF1|Q9UPN3
RASAL3|Q86YV0
COPS4|D6RFN0
DGKH|Q86XP1-2
MAPK8|P45983-4
CCNY|Q8ND76
ARPC5|O15511
ARC|Q7LC44
HBB|P68871
C1QTNF5|Q9BXJ0
PTPRS|Q13332-2
KATNB1|Q9BVA0
FAM21C|A0A096LPC5
RTN1|Q16799
GLO1|Q04760
DGKH|Q86XP1
MCAT|Q8IVS2
SMARCC2|F8VXC8
RAB24|Q969Q5
SLIRP|Q9GZT3
AIFM3|Q96NN9-2
SMARCD1|Q96GM5
ABR|Q12979-3
CLASP1|Q7Z460
MLYCD|O95822
SCN8A|Q9UQD0
PYGB|P11216
DLGAP1|O14490-6
WDR47|O94967-4
LPHN1|O94910
PSMB6|P28072
NNT|E9PCX7
FBXL18|Q96ME1-4
MGST3|Q5VV89
SPRED3|Q2MJR0
SPG7|Q9UQ90
RNPEP|Q9H4A4
CLASP1|Q7Z460-3
NRIP2|Q9BQI9
UBE3A|Q05086
ADD2|C9JTM0
PDLIM3|Q53GG5-2
TMPO|H0YJH7
UCHL3|P15374
PLEC|Q15149-3
CHTOP|Q9Y3Y2-3
RYR2|Q92736-2
EIF3B|P55884-2
CYGB|Q8WWM9
RHOB|P62745
TMLHE|Q9NVH6-8
SIGMAR1|Q99720
GABBR1|Q9UBS5-2
FBLN1|B1AHL2
NAPA|P54920
PFN1|P07737
SLC39A11|Q8N1S5
MARK3|A0A0A0MQR8
MTFR1L|Q9H019
COPS4|Q9BT78
FAHD1|Q6P587
IQSEC1|A0A087WWK8
PSD3|B4DKF8
TRIO|O75962
CAMKK1|J3KPJ3
NT5DC3|Q86UY8
SMARCC2|Q8TAQ2
LAMP5|Q9UJQ1
PSMA3|P25788
ARMC1|Q9NVT9
HMGCS1|Q01581
SLC27A4|Q6P1M0
IQSEC2|Q5JU85-2
GPHN|F5H039
NPTN|Q9Y639-5
CNDP1|J3KRP0
FAM210B|Q96KR6
PDE4D|Q08499-11
CDC42BPB|Q9Y5S2
UBTF|E9PKP7
NUP54|Q7Z3B4
DNAJA3|Q96EY1
EIF1B|O60739
PANX2|Q96RD6
RPS8|P62241
NWD2|Q9ULI1
KIF3A|E9PES4
BRSK2|Q8IWQ3
PSMA4|P25789
MRPL19|P49406
NUDT21|O43809
LMNB1|P20700
SIRPA|P78324-2
ECHDC1|Q9NTX5
ATP6AP2|O75787
RDX|P35241-5
ATP5F1|P24539
TMEM163|Q8TC26
GSR|P00390-5
PTMS|P20962
DEK|P35659
ATAT1|Q5SQI0
ALPL|P05186
RAP1GAP|X6R8W7
CRYZ|Q08257
UBTF|P17480
NBEA|F5GXV7
GPC5|P78333
C1QBP|Q07021
PAK4|O96013
HOMER1|Q86YM7
RNF146|Q9NTX7
CHGB|A0A0A0MT66
ROGDI|Q9GZN7
ACOX2|Q99424
OXCT1|P55809-2
BLOC1S5|Q8TDH9
PPP6R2|O75170-5
RRAGC|Q9HB90
UQCRH|P07919
GRM2|Q14416
RPL3L|Q92901
GSS|P48637
GNAQ|B1AM21
SAT2|Q96F10
PMM1|Q92871
SLC16A7|O60669
PSMB2|P49721
MAPT|P10636-6
ANKRD24|Q8TF21-2
SEMA4C|Q9C0C4
SMARCD3|Q6STE5
PDE4D|Q08499-10
GOLIM4|F8W785
TAMM41|Q96BW9
ESYT2|A0FGR8-2
SLC25A3|Q00325-2
SHANK3|Q9BYB0
AFF4|Q9UHB7
PRPF38B|Q5VTL8
DNAJB2|P25686
RPA1|P27694
ABLIM2|Q6H8Q1-5
OXR1|Q8N573
COA3|Q9Y2R0
SLC25A3|Q00325
AKAP17A|Q02040
CNNM4|Q6P4Q7
PDE4D|Q08499
RAB1C|Q92928
RAPGEF4|Q8WZA2-5
AKR7A2|O43488
KIAA1107|Q9UPP5
SLC25A19|Q9HC21
FBL|P22087
LRRFIP2|Q9Y608-4
FBLN1|P23142-4
UNC5B|Q8IZJ1
MT-ND5|P03915
BPNT1|O95861
KIAA0930|Q6ICG6-2
HLA-DRB1|P01912
TUBB2A|Q13885
NOGENE|K7N7A8
BPNT1|O95861-2
SPTBN2|O15020
SLC6A7|Q99884
ATP1A2|P50993
MRPL41|Q8IXM3
TPPP|O94811
SYT1|J3KQA0
SLC43A2|Q8N370-3
ATP6AP1|Q15904
DTNBP1|Q96EV8
GABBR2|O75899
PITPNA|Q00169
SYNRG|Q9UMZ2
PKLR|P30613
C1QB|P02746
KIAA1107|Q9UPP5-2
HPCAL1|P37235
SNCG|O76070
CCBL2|Q6YP21
PPP6R2|O75170
SLC44A2|Q8IWA5-3
NEK6|Q9HC98-2
ANKMY2|Q8IV38
PPIP5K1|Q6PFW1
MYLK|Q15746
ACTC1|P68032
ABLIM1|O14639-6
EHHADH|Q08426
SYTL4|Q96C24
ARL6IP4|Q66PJ3
TDRD7|Q8NHU6
SV2A|Q7L0J3
SCPEP1|Q9HB40
IFI16|Q16666
RBM4|Q9BWF3
HBA1|P69905
MT-ND2|P03891
CPNE4|Q96A23-2
RPL7A|P62424
ABLIM1|O14639
PPP3R1|D3YTA9
PCBD2|Q9H0N5
XPR1|Q9UBH6
ACTB|P60709
LRFN1|Q9P244
G6PD|P11413-2
PMPCA|Q10713
GDAP1L1|Q96MZ0-4
KCTD6|Q8NC69
HLA-C|A2BF26
ESYT1|Q9BSJ8
NUAK1|O60285
SDHAF2|Q9NX18
HOOK3|Q86VS8
MLIP|E9PFJ4
GSN|P06396-3
TMEM65|Q6PI78
RLBP1|P12271
CLPTM1|O96005
AMER2|Q8N7J2
COX11|Q9Y6N1
CA2|P00918
AJAP1|Q9UKB5
FLII|J3KS54
GRIN2A|Q12879
UBC|F5H265
PGBD5|Q8N414
PTGDS|Q5SQ11
ARHGAP42|A6NI28
CHGA|P10645
NPDC1|Q5SPY9
ARHGEF11|O15085
EML1|O00423-3
MYH10|P35580-5
KCNJ9|Q92806
KHSRP|A0A087WTP3
FUCA2|Q9BTY2
RPS15|K7ELC2
GRASP|Q7Z6J2
PPP1R1B|Q9UD71
A2M|P01023
COASY|Q13057-2
SCG5|P05408
CCDC136|Q96JN2-4
UBE2D4|Q9Y2X8
PACS1|Q6VY07
GOLIM4|O00461
SCG5|H7C4X7
FBXL18|Q96ME1
RAP1GAP|P47736-4
COBLL1|Q53SF7
MYH10|P35580-4
DTNA|Q9Y4J8-15
CAPN7|Q9Y6W3
SSX2IP|Q9Y2D8
GDE1|Q9NZC3
PDF|Q9HBH1
UBB|J3QS39
RPL27|P61353
SMAD9|O15198
PCLO|Q9Y6V0-5
RBBP4|Q09028
PTPRN|Q16849
PAK3|O75914-3
CHRM4|P08173
AKAP12|Q02952
RBM4B|Q9BQ04
PAK3|O75914-2
MFN2|O95140
DTNA|Q9Y4J8-2
MYH10|P35580-3
DPM3|Q9P2X0-2
CCDC136|Q96JN2-3
ACO1|P21399
CWC15|Q9P013
COBLL1|Q53SF7-2
CLIP1|P30622
TOM1L2|Q6ZVM7
PEPD|P12955
HDGFRP3|Q9Y3E1
KHSRP|Q92945
PFN2|G5E9Q6
FOXO1|Q12778
CAMKMT|Q7Z624
ADCY8|P40145
ABLIM2|Q6H8Q1-4
FAHD1|Q6P587-3
CAPNS1|U3KPR7
EPB41L3|Q9Y2J2
ELMO2|Q96JJ3
SHANK2|H7BZV1
AMIGO1|Q86WK6
RHOC|P08134
CADPS|H7C4T6
NOGENE|P01766
COX6B1|P14854
MYH14|Q7Z406-2
SLC25A23|Q9BV35
RABGAP1L|Q5R372
SPARC|D3DQH8
DYRK1A|Q13627
RAB39B|Q96DA2
DYRK1A|Q13627-2
SSRP1|Q08945
AARS2|Q5JTZ9
RABGAP1L|Q5R372-3
ATRNL1|Q5VV63
NDUFAF5|Q5TEU4
TUBB|P07437
NHLRC2|Q8NBF2
TUBB6|K7EK43
ERLEC1|Q96DZ1
UBBP4|J3QLP7
SLC27A1|Q6PCB7
TRAF2|Q12933-2
MAPK9|P45984-3
STAT3|P40763
RNASE4|P34096
CDC42|P60953
CDV3|Q9UKY7
NPTXR|O95502
SCN3B|Q9NY72
RBSN|Q9H1K0
CA8|P35219
STAT3|P40763-2
FUBP3|Q96I24
HIVEP2|P31629
CUL2|Q13617-2
SETD5|E7EWN3
TAOK2|Q9UL54-2
HSPB11|X6R7Y7
GDAP1L1|Q96MZ0
ASAP2|O43150
MAP4|P27816-7
AMPH|P49418
FLOT2|Q14254
DNAJB11|Q9UBS4
MAPK9|P45984-4
HNRNPM|M0R019
C19orf43|Q9BQ61
PCLO|Q9Y6V0
ACTA1|P68133
TBC1D9|Q6ZT07
RAPGEF4|Q8WZA2
TIMM21|Q9BVV7
BAG6|P46379-3
SCN8A|Q9UQD0-3
FRZB|Q92765
ARFIP2|A0A087X1E4
PSD2|Q9BQI7
SLIRP|G3V2S9
CMTM5|Q96DZ9
CHMP4B|Q9H444
PNPO|Q9NVS9
COMMD3|Q9UBI1
ARHGAP23|Q9P227
C11orf54|Q9H0W9
KAZN|Q674X7-3
SERPINB1|P30740
APC2|O95996
CYTH2|Q99418
FXYD7|K7ENE8
ZNF787|A0A087WUD1
ALOX5|P09917
EIF4E|P06730-2
RANGAP1|P46060
TMEM245|Q9H330
TMUB2|Q71RG4
PDE4B|Q07343
APBA2|Q99767
UBE2Q1|Q7Z7E8
TUBAL3|A6NHL2
NRXN3|Q9HDB5-4
RAC1|P63000-2
LZTS1|Q9Y250
UBR3|Q6ZT12-4
FLOT2|E7EMK3
VAMP5|O95183
YARS|P54577
KNDC1|Q76NI1
RPL23|P62829
CDC16|Q13042
SQRDL|Q9Y6N5
HHATL|Q9HCP6
MINOS1|Q5TGZ0
MYH14|Q7Z406-6
GRIA1|P42261-5
EIF4A1|P60842
SPCS2|E9PI68
MEPCE|Q7L2J0
SPG21|Q9NZD8
F3|P13726
TSC1|Q92574
ANK2|H0Y8Y2
H2AFX|P16104
APBB1IP|Q7Z5R6
ACADM|Q5T4U5
ENAH|Q8N8S7-2
ASB1|Q9Y576
SF3A1|Q15459
AVEN|Q9NQS1
DPYSL3|H0YB87
BCAP31|P51572-2
ENAH|Q8N8S7
GSR|P00390
BCS1L|Q9Y276
ADPRHL2|Q9NX46
POMK|Q9H5K3
EIF4G3|A0A0A0MSA7
MRS2|Q9HD23
LARS2|Q15031
MGRN1|K7EPJ5
PPBP|P02775
STMN2|Q93045-2
CLINT1|Q14677
CPE|P16870
ARFGEF2|Q9Y6D5
NCKIPSD|Q9NZQ3-3
PVRL2|Q92692
PNMA6A|P0CW24
GABRB3|F5H7N0
ANKS1B|F8VR14
LLGL1|Q15334
MAST3|O60307
RBMX|P38159
MYH14|Q7Z406
IMPAD1|Q9NX62
SEPT8|Q92599
SMN1|E7EQZ4
NOGENE|H0Y980
CYP4X1|Q8N118
MT-CO3|P00414
PRUNE2|Q8WUY3-3
STON2|Q8WXE9-3
NCK2|O43639
MGRN1|O60291-2
PITPNM3|Q9BZ71
CTNND1|O60716
PNMA6C|P0CW26
ECI1|P42126
FKBP8|Q14318
PKIA|P61925
LARS|Q9P2J5
NF1|P21359-6
RPS26|P62854
RMND1|Q9NWS8
SEPT14|Q6ZU15
RAB12|Q6IQ22
MAP7D2|Q96T17-2
APRT|P07741
PARS2|Q7L3T8
MAOA|P21397
ANKRD28|O15084-1
DCTD|P32321-2
GLUL|P15104
RBMX|P38159-2
PPP2R2C|Q9Y2T4
APOD|C9JF17
ARHGAP17|Q68EM7
SMAD3|P84022
BAI1|O14514
SIRPA|P78324
EIF3K|Q9UBQ5
NF1|P21359
YWHAB|P31946
MAP7|A0A087WZ40
DNAH17|Q9UFH2
GRIN1|Q05586-5
STX7|O15400
AKR7A3|O95154
SNAP91|O60641-4
VPS25|Q9BRG1
GGCT|O75223
MRPS16|Q9Y3D3
YARS2|Q9Y2Z4
ACADM|B7Z9I1
STMN2|Q93045
CELF4|A0A0A0MTT3
NCKIPSD|Q9NZQ3
THTPA|Q9BU02
ACSL4|O60488
RIMS3|Q9UJD0
GUF1|Q8N442
CHKB|Q9Y259
PPP2R4|A6PVN8
CNN2|B4DUT8
RPL22|P35268
EARS2|Q5JPH6
ITGAM|P11215-2
CYGB|K7EMC7
SELO|Q9BVL4
AP1M1|Q9BXS5-2
RPS10P5|Q9NQ39
SPR|P35270
SIRT5|Q9NXA8
CTNNA1|P35221-2
FMNL3|Q8IVF7
SIRT3|Q9NTG7
BBS4|Q96RK4-2
SNX6|A0A0A0MRI2
ANLN|H7C1C2
WDR17|Q8IZU2
ANK2|D6RHC5
MARK2|Q7KZI7-15
PSMB8|P28062
ARHGEF11|O15085-2
ATP5O|P48047
TUBB4B|P68371
BLOC1S1|P78537
CACHD1|Q5VU97
TCEA2|Q15560
CDV3|D6R9V8
PDXP|Q96GD0
CIT|H7BYJ3
IDH3A|H0YNF5
ATG2B|Q96BY7
HBD|P02042
UBE2N|P61088
SFXN3|Q9BWM7
NDE1|Q9NXR1
PGK1|P00558
SPATS2L|Q9NUQ6-2
SURF1|Q15526
ZNF787|Q6DD87
SRCIN1|A0A087WU33
ABLIM1|O14639-5
NUDCD3|Q8IVD9
PEBP1|P30086
ARFRP1|Q13795
MAP2K4|P45985-2
PDE4B|Q07343-3
NDE1|Q9NXR1-2
RAC2|P15153
TIMM9|Q9Y5J7
KIAA1549|Q9HCM3
MRPL39|Q9NYK5
GFAP|K7EPT8
MPRIP|H0Y2S9
ANK1|P16157-21
SLC4A1AP|Q9BWU0
RAB11B|Q15907
UBL4A|P11441
GRIN1|Q05586-6
AADAT|Q8N5Z0-2
SH3RF1|Q7Z6J0
NRIP3|Q9NQ35
NT5C3A|Q9H0P0
RPL9|P32969
TUBA8|Q9NY65
ATG16L1|Q676U5
B2M|H0YL18
CDKN2AIP|Q9NXV6
CTSD|P07339
ABCA8|O94911-3
SLC8A3|P57103-2
TJAP1|Q5JTD0
TNC|P24821
NAGK|H7C286
SEH1L|Q96EE3-1
DNAJC12|S4R3E2
STK24|Q9Y6E0
TWF1|Q12792
SNAP47|Q5SQN1
ANK1|P16157-3
AADAT|Q8N5Z0
ASTN2|O75129
ARHGEF10|O15013
NASP|P49321
NUDCD2|Q8WVJ2
C6orf203|Q9P0P8
EFEMP1|Q12805
COQ3|Q9NZJ6
ACACA|Q13085-4
EARS2|Q5JPH6-2
PPP2R5C|Q13362-5
GABRB3|P28472-2
CNIH2|Q6PI25
TUBA8|C9J2C0
COQ10B|Q9H8M1
ANK1|P16157-14
C17orf85|Q53F19
SPOCK3|Q9BQ16
PPFIA2|G3V200
SPOCK3|Q9BQ16-1
NRXN3|Q9Y4C0
KIAA0930|Q6ICG6
CDC42EP4|Q9H3Q1
BHMT|Q93088
RRAGB|Q5VZM2-2
PCIF1|Q9H4Z3
FRS3|O43559
AKR1C2|B4DK69
PPP1R1A|Q13522
C12orf57|Q99622
GPR123|Q86SQ6-1
WDR18|Q9BV38
MTMR9|Q96QG7
