"CSF-PR / CSF GLYCO MIXED-MODE / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
1502.00,"SINGLE PROTEIN","P30988",""," Calcitonin receptor (CALCR_HUMAN)","7","CALCR",0.00,"false",0.00,0.00,0.00,841.00,57.27,0.00,,,,,"false"
1503.00,"SINGLE PROTEIN","A8MX76",""," Calpain-14 (CAN14_HUMAN)","2","CAPN14",0.00,"false",0.00,0.00,0.00,841.00,79.52,0.00,,,,,"false"
1504.00,"SINGLE PROTEIN","Q9NWB7",""," Intraflagellar transport protein 57 homolog (IFT57_HUMAN)","3","IFT57",0.00,"false",0.00,0.00,0.00,841.00,49.08,0.00,,,,,"false"
1505.00,"SINGLE PROTEIN","Q96Q91",""," Anion exchange protein 4 (B3A4_HUMAN)","5","SLC4A9",0.00,"false",0.00,0.00,0.00,841.00,108.18,0.00,,,,,"false"
1506.00,"SINGLE PROTEIN","Q96PX1",""," RING finger protein 157 (RN157_HUMAN)","17","RNF157",0.00,"false",0.00,0.00,0.00,841.00,73.53,0.00,,,,,"false"
1507.00,"SINGLE PROTEIN","P53667",""," LIM domain kinase 1 (LIMK1_HUMAN)","7","LIMK1",0.00,"false",0.00,0.00,0.00,841.00,72.54,0.00,,,,,"false"
1508.00,"SINGLE PROTEIN","Q96Q89",""," Kinesin-like protein KIF20B (KI20B_HUMAN)","10","KIF20B",0.00,"false",0.00,0.00,0.00,841.00,210.50,0.00,,,,,"false"
1509.00,"SINGLE PROTEIN","Q9UJU3",""," Zinc finger protein 112 (ZN112_HUMAN)","19","ZFP112",0.00,"false",0.00,0.00,0.00,841.00,105.77,0.00,,,,,"false"
1510.00,"SINGLE PROTEIN","Q86WA8",""," Lon protease homolog 2, peroxisomal (LONP2_HUMAN)","16","LONP2",0.00,"false",0.00,0.00,0.00,841.00,94.56,0.00,,,,,"false"
1511.00,"SINGLE PROTEIN","Q9UJU2",""," Lymphoid enhancer-binding factor 1 (LEF1_HUMAN)","4","LEF1",0.00,"false",0.00,0.00,0.00,841.00,44.17,0.00,,,,,"false"
1512.00,"SINGLE PROTEIN","Q9UK61",""," Protein TASOR (TASOR_HUMAN)","3","FAM208A",0.00,"false",0.00,0.00,0.00,841.00,188.91,0.00,,,,,"false"
1513.00,"SINGLE PROTEIN","P40306",""," Proteasome subunit beta type-10 (PSB10_HUMAN)","16","PSMB10",0.00,"false",0.00,0.00,0.00,841.00,28.92,0.00,,,,,"false"
1514.00,"SINGLE PROTEIN","Q86WA6",""," Valacyclovir hydrolase (BPHL_HUMAN)","6","BPHL",0.00,"false",0.00,0.00,0.00,841.00,32.52,0.00,,,,,"false"
1515.00,"SINGLE PROTEIN","P03372",""," Estrogen receptor (ESR1_HUMAN)","6","ESR1",0.00,"false",0.00,0.00,0.00,841.00,66.17,0.00,,,,,"false"
1516.00,"SINGLE PROTEIN","Q9UJU6",""," Drebrin-like protein (DBNL_HUMAN)","7","DBNL",0.00,"false",0.00,0.00,0.00,841.00,48.18,0.00,,,,,"false"
1517.00,"SINGLE PROTEIN","A8MX80",""," Putative UPF0607 protein ENSP00000383144 (YM017_HUMAN)","","",0.00,"false",0.00,0.00,0.00,841.00,37.61,0.00,,,,,"false"
1518.00,"SINGLE PROTEIN","P26012",""," Integrin beta-8 (ITB8_HUMAN)","7","ITGB8",0.00,"false",0.00,0.00,0.00,841.00,85.58,0.00,,,,,"false"
1519.00,"SINGLE PROTEIN","P53675",""," Clathrin heavy chain 2 (CLH2_HUMAN)","22","CLTCL1",0.00,"false",0.00,0.00,0.00,841.00,186.91,0.00,,,,,"false"
1520.00,"SINGLE PROTEIN","P53673",""," Beta-crystallin A4 (CRBA4_HUMAN)","22","CRYBA4",0.00,"false",0.00,0.00,0.00,841.00,22.36,0.00,,,,,"false"
1521.00,"SINGLE PROTEIN","Q9NWC5",""," Transmembrane protein 45A (TM45A_HUMAN)","3","TMEM45A",0.00,"false",0.00,0.00,0.00,841.00,31.66,0.00,,,,,"false"
1522.00,"SINGLE PROTEIN","P53671",""," LIM domain kinase 2 (LIMK2_HUMAN)","22","LIMK2",0.00,"false",0.00,0.00,0.00,841.00,72.19,0.00,,,,,"false"
1523.00,"SINGLE PROTEIN","P26010",""," Integrin beta-7 (ITB7_HUMAN)","12","ITGB7",0.00,"false",0.00,0.00,0.00,841.00,86.85,0.00,,,,,"false"
1524.00,"SINGLE PROTEIN","Q5FWE3",""," Proline-rich transmembrane protein 3 (PRRT3_HUMAN)","3","PRRT3",0.00,"false",0.00,0.00,0.00,841.00,102.13,0.00,,,,,"false"
1525.00,"SINGLE PROTEIN","Q14916",""," Sodium-dependent phosphate transport protein 1 (NPT1_HUMAN)","6","SLC17A1",0.00,"false",0.00,0.00,0.00,841.00,51.10,0.00,,,,,"false"
1526.00,"SINGLE PROTEIN","Q14914",""," Prostaglandin reductase 1 (PTGR1_HUMAN)","9","PTGR1",0.00,"false",0.00,0.00,0.00,841.00,35.85,0.00,,,,,"false"
1527.00,"SINGLE PROTEIN","Q96Q83",""," Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (ALKB3_HUMAN)","11","ALKBH3",0.00,"false",0.00,0.00,0.00,841.00,33.35,0.00,,,,,"false"
1528.00,"SINGLE PROTEIN","Q14919",""," Dr1-associated corepressor (NC2A_HUMAN)","11","DRAP1",0.00,"false",0.00,0.00,0.00,841.00,22.34,0.00,,,,,"false"
1529.00,"SINGLE PROTEIN","P53677",""," AP-3 complex subunit mu-2 (AP3M2_HUMAN)","8","AP3M2",0.00,"false",0.00,0.00,0.00,841.00,46.95,0.00,,,,,"false"
1530.00,"UNRELATED PROTEINS","A8MUX0","Q3MJ16"," Keratin-associated protein 16-1 (KR161_HUMAN)","17","KRTAP16-1",0.00,"false",0.00,0.00,0.00,841.00,53.87,0.00,,,,,"false"
1531.00,"SINGLE PROTEIN","A6NEH6",""," Transmembrane protein 247 (TM247_HUMAN)","2","TMEM247",0.00,"false",0.00,0.00,0.00,841.00,25.15,0.00,,,,,"false"
1532.00,"SINGLE PROTEIN","Q96PV4",""," Paraneoplastic antigen-like protein 5 (PNMA5_HUMAN)","X","PNMA5",0.00,"false",0.00,0.00,0.00,841.00,49.90,0.00,,,,,"false"
1533.00,"SINGLE PROTEIN","Q96PV7",""," Protein FAM193B (F193B_HUMAN)","5","FAM193B",0.00,"false",0.00,0.00,0.00,841.00,96.49,0.00,,,,,"false"
1534.00,"SINGLE PROTEIN","Q96Q77",""," Calcium and integrin-binding family member 3 (CIB3_HUMAN)","19","CIB3",0.00,"false",0.00,0.00,0.00,841.00,21.79,0.00,,,,,"false"
1535.00,"SINGLE PROTEIN","Q96PV6",""," Leukocyte receptor cluster member 8 (LENG8_HUMAN)","19","LENG8",0.00,"false",0.00,0.00,0.00,841.00,86.07,0.00,,,,,"false"
1536.00,"SINGLE PROTEIN","Q9UK73",""," Protein fem-1 homolog B (FEM1B_HUMAN)","15","FEM1B",0.00,"false",0.00,0.00,0.00,841.00,70.22,0.00,,,,,"false"
1537.00,"SINGLE PROTEIN","Q9UJV3",""," Probable E3 ubiquitin-protein ligase MID2 (TRIM1_HUMAN)","X","MID2",0.00,"false",0.00,0.00,0.00,841.00,83.16,0.00,,,,,"false"
1538.00,"SINGLE PROTEIN","Q9UJV8",""," Purine-rich element-binding protein gamma (PURG_HUMAN)","8","PURG",0.00,"false",0.00,0.00,0.00,841.00,39.53,0.00,,,,,"false"
1539.00,"SINGLE PROTEIN","P26006",""," Integrin alpha-3 (ITA3_HUMAN)","17","ITGA3",0.00,"false",0.00,0.00,0.00,841.00,116.54,0.00,,,,,"false"
1540.00,"SINGLE PROTEIN","A4D2P6",""," Delphilin (GRD2I_HUMAN)","7","GRID2IP",0.00,"false",0.00,0.00,0.00,841.00,132.19,0.00,,,,,"false"
1541.00,"SINGLE PROTEIN","O43196",""," MutS protein homolog 5 (MSH5_HUMAN)","6","MSH5",0.00,"false",0.00,0.00,0.00,841.00,92.82,0.00,,,,,"false"
1542.00,"SINGLE PROTEIN","Q9UJN7",""," Zinc finger protein 391 (ZN391_HUMAN)","6","ZNF391",0.00,"false",0.00,0.00,0.00,841.00,40.63,0.00,,,,,"false"
1543.00,"SINGLE PROTEIN","Q9Y586",""," Protein mab-21-like 2 (MB212_HUMAN)","4","MAB21L2",0.00,"false",0.00,0.00,0.00,841.00,40.90,0.00,,,,,"false"
1544.00,"SINGLE PROTEIN","Q9BTA9",""," WW domain-containing adapter protein with coiled-coil (WAC_HUMAN)","10","WAC",0.00,"false",0.00,0.00,0.00,841.00,70.68,0.00,,,,,"false"
1545.00,"SINGLE PROTEIN","P53602",""," Diphosphomevalonate decarboxylase (MVD1_HUMAN)","16","MVD",0.00,"false",0.00,0.00,0.00,841.00,43.38,0.00,,,,,"false"
1546.00,"SINGLE PROTEIN","Q14929",""," Zinc finger protein 169 (ZN169_HUMAN)","9","ZNF169",0.00,"false",0.00,0.00,0.00,841.00,68.44,0.00,,,,,"false"
1547.00,"SINGLE PROTEIN","Q86WG5",""," Myotubularin-related protein 13 (MTMRD_HUMAN)","11","SBF2",0.00,"false",0.00,0.00,0.00,841.00,208.33,0.00,,,,,"false"
1548.00,"SINGLE PROTEIN","Q9BTA0",""," Protein FAM167B (F167B_HUMAN)","1","FAM167B",0.00,"false",0.00,0.00,0.00,841.00,18.40,0.00,,,,,"false"
1549.00,"SINGLE PROTEIN","P53609",""," Geranylgeranyl transferase type-1 subunit beta (PGTB1_HUMAN)","5","PGGT1B",0.00,"false",0.00,0.00,0.00,841.00,42.34,0.00,,,,,"false"
1550.00,"SINGLE PROTEIN","Q9Y592",""," Centrosomal protein of 83 kDa (CEP83_HUMAN)","12","CCDC41",0.00,"false",0.00,0.00,0.00,841.00,82.01,0.00,,,,,"false"
1551.00,"SINGLE PROTEIN","Q9Y4X4",""," Krueppel-like factor 12 (KLF12_HUMAN)","13","KLF12",0.00,"false",0.00,0.00,0.00,841.00,44.21,0.00,,,,,"false"
1552.00,"SINGLE PROTEIN","A8MWY0",""," UPF0577 protein KIAA1324-like (K132L_HUMAN)","7","KIAA1324L",0.00,"false",0.00,0.00,0.00,841.00,113.77,0.00,,,,,"false"
1553.00,"SINGLE PROTEIN","Q9UK00",""," Uncharacterized protein C3orf18 (CC018_HUMAN)","3","C3ORF18",0.00,"false",0.00,0.00,0.00,841.00,17.46,0.00,,,,,"false"
1554.00,"SINGLE PROTEIN","Q9Y4X0",""," AMME syndrome candidate gene 1 protein (AMMR1_HUMAN)","X","AMMECR1",0.00,"false",0.00,0.00,0.00,841.00,35.44,0.00,,,,,"false"
1555.00,"SINGLE PROTEIN","Q9UK05",""," Growth/differentiation factor 2 (GDF2_HUMAN)","10","GDF2",0.00,"false",0.00,0.00,0.00,841.00,47.29,0.00,,,,,"false"
1556.00,"SINGLE PROTEIN","Q7KZI7",""," Serine/threonine-protein kinase MARK2 (MARK2_HUMAN)","11","MARK2",0.00,"false",0.00,0.00,0.00,841.00,87.86,0.00,,,,,"false"
1557.00,"SINGLE PROTEIN","Q14934",""," Nuclear factor of activated T-cells, cytoplasmic 4 (NFAC4_HUMAN)","14","NFATC4",0.00,"false",0.00,0.00,0.00,841.00,95.39,0.00,,,,,"false"
1558.00,"SINGLE PROTEIN","Q9UK08",""," Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8 (GBG8_HUMAN)","19","GNG8",0.00,"false",0.00,0.00,0.00,841.00,7.84,0.00,,,,,"false"
1559.00,"SINGLE PROTEIN","Q9Y4X5",""," E3 ubiquitin-protein ligase ARIH1 (ARI1_HUMAN)","15","ARIH1",0.00,"false",0.00,0.00,0.00,841.00,64.08,0.00,,,,,"false"
1560.00,"SINGLE PROTEIN","Q9Y597",""," BTB/POZ domain-containing protein KCTD3 (KCTD3_HUMAN)","1","KCTD3",0.00,"false",0.00,0.00,0.00,841.00,88.93,0.00,,,,,"false"
1561.00,"SINGLE PROTEIN","Q13608",""," Peroxisome assembly factor 2 (PEX6_HUMAN)","6","PEX6",0.00,"false",0.00,0.00,0.00,841.00,104.00,0.00,,,,,"false"
1562.00,"SINGLE PROTEIN","P53618",""," Coatomer subunit beta (COPB_HUMAN)","11","COPB1",0.00,"false",0.00,0.00,0.00,841.00,107.07,0.00,,,,,"false"
1563.00,"RELATED PROTEINS","A6NL46","A8MU76,A8MUA0,A8MUI8,A8MV72,A8MX80"," Putative UPF0607 protein ENSP00000332738 (YF016_HUMAN)","","",0.00,"false",0.00,0.00,0.00,841.00,37.77,0.00,,,,,"false"
1564.00,"SINGLE PROTEIN","A8MWX3",""," Putative WAS protein family homolog 4 (WASH4_HUMAN)","16","WASH4P",0.00,"false",0.00,0.00,0.00,841.00,51.56,0.00,,,,,"false"
1565.00,"SINGLE PROTEIN","Q9UK12",""," Zinc finger protein 222 (ZN222_HUMAN)","19","ZNF222",0.00,"false",0.00,0.00,0.00,841.00,52.45,0.00,,,,,"false"
1566.00,"SINGLE PROTEIN","Q9UK11",""," Zinc finger protein 223 (ZN223_HUMAN)","19","ZNF223",0.00,"false",0.00,0.00,0.00,841.00,55.73,0.00,,,,,"false"
1567.00,"SINGLE PROTEIN","Q9UK10",""," Zinc finger protein 225 (ZN225_HUMAN)","19","ZNF225",0.00,"false",0.00,0.00,0.00,841.00,82.42,0.00,,,,,"false"
1568.00,"SINGLE PROTEIN","P26045",""," Tyrosine-protein phosphatase non-receptor type 3 (PTN3_HUMAN)","9","PTPN3",0.00,"false",0.00,0.00,0.00,841.00,103.92,0.00,,,,,"false"
1569.00,"SINGLE PROTEIN","Q13610",""," Periodic tryptophan protein 1 homolog (PWP1_HUMAN)","12","PWP1",0.00,"false",0.00,0.00,0.00,841.00,55.79,0.00,,,,,"false"
1570.00,"SINGLE PROTEIN","P53621",""," Coatomer subunit alpha (COPA_HUMAN)","1","COPA",0.00,"false",0.00,0.00,0.00,841.00,138.26,0.00,,,,,"false"
1571.00,"SINGLE PROTEIN","Q14940",""," Sodium/hydrogen exchanger 5 (SL9A5_HUMAN)","16","SLC9A5",0.00,"false",0.00,0.00,0.00,841.00,98.95,0.00,,,,,"false"
1572.00,"SINGLE PROTEIN","Q9UJP4",""," Kelch-like protein 21 (KLH21_HUMAN)","1","KLHL21",0.00,"false",0.00,0.00,0.00,841.00,66.57,0.00,,,,,"false"
1573.00,"SINGLE PROTEIN","O43175",""," D-3-phosphoglycerate dehydrogenase (SERA_HUMAN)","1","PHGDH",0.00,"false",0.00,0.00,0.00,841.00,56.61,0.00,,,,,"false"
1574.00,"SINGLE PROTEIN","Q9UK13",""," Zinc finger protein 221 (ZN221_HUMAN)","19","ZNF221",0.00,"false",0.00,0.00,0.00,841.00,71.12,0.00,,,,,"false"
1575.00,"SINGLE PROTEIN","Q13615",""," Myotubularin-related protein 3 (MTMR3_HUMAN)","22","MTMR3",0.00,"false",0.00,0.00,0.00,841.00,133.53,0.00,,,,,"false"
1576.00,"SINGLE PROTEIN","Q13614",""," Myotubularin-related protein 2 (MTMR2_HUMAN)","11","MTMR2",0.00,"false",0.00,0.00,0.00,841.00,73.34,0.00,,,,,"false"
1577.00,"SINGLE PROTEIN","Q13613",""," Myotubularin-related protein 1 (MTMR1_HUMAN)","X","MTMR1",0.00,"false",0.00,0.00,0.00,841.00,74.63,0.00,,,,,"false"
1578.00,"SINGLE PROTEIN","Q14943",""," Killer cell immunoglobulin-like receptor 3DS1 (KI3S1_HUMAN)","","KIR3DS1",0.00,"false",0.00,0.00,0.00,841.00,42.87,0.00,,,,,"false"
1579.00,"SINGLE PROTEIN","Q9UK17",""," Potassium voltage-gated channel subfamily D member 3 (KCND3_HUMAN)","1","KCND3",0.00,"false",0.00,0.00,0.00,841.00,73.40,0.00,,,,,"false"
1580.00,"SINGLE PROTEIN","Q2VWP7",""," Protogenin (PRTG_HUMAN)","15","PRTG",0.00,"false",0.00,0.00,0.00,841.00,127.00,0.00,,,,,"false"
1581.00,"SINGLE PROTEIN","Q13619",""," Cullin-4A (CUL4A_HUMAN)","13","CUL4A",0.00,"false",0.00,0.00,0.00,841.00,87.62,0.00,,,,,"false"
1582.00,"SINGLE PROTEIN","Q13618",""," Cullin-3 (CUL3_HUMAN)","2","CUL3",0.00,"false",0.00,0.00,0.00,841.00,88.87,0.00,,,,,"false"
1583.00,"SINGLE PROTEIN","Q13617",""," Cullin-2 (CUL2_HUMAN)","10","CUL2",0.00,"false",0.00,0.00,0.00,841.00,86.93,0.00,,,,,"false"
1584.00,"SINGLE PROTEIN","Q13616",""," Cullin-1 (CUL1_HUMAN)","7","CUL1",0.00,"false",0.00,0.00,0.00,841.00,89.62,0.00,,,,,"false"
1585.00,"SINGLE PROTEIN","Q6BDS2",""," UHRF1-binding protein 1 (URFB1_HUMAN)","6","UHRF1BP1",0.00,"false",0.00,0.00,0.00,841.00,159.38,0.00,,,,,"false"
1586.00,"SINGLE PROTEIN","P15391",""," B-lymphocyte antigen CD19 (CD19_HUMAN)","16","CD19",0.00,"false",0.00,0.00,0.00,841.00,61.09,0.00,,,,,"false"
1587.00,"SINGLE PROTEIN","A6NEK1",""," Arrestin domain-containing protein 5 (ARRD5_HUMAN)","19","ARRDC5",0.00,"false",0.00,0.00,0.00,841.00,38.36,0.00,,,,,"false"
1588.00,"SINGLE PROTEIN","Q9UK23",""," N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase (NAGPA_HUMAN)","16","NAGPA",0.00,"false",0.00,0.00,0.00,841.00,56.04,0.00,,,,,"false"
1589.00,"SINGLE PROTEIN","O43184",""," Disintegrin and metalloproteinase domain-containing protein 12 (ADA12_HUMAN)","10","ADAM12",0.00,"false",0.00,0.00,0.00,841.00,99.48,0.00,,,,,"false"
1590.00,"SINGLE PROTEIN","P26038",""," Moesin (MOES_HUMAN)","X","MSN",0.00,"false",0.00,0.00,0.00,841.00,67.78,0.00,,,,,"false"
1591.00,"SINGLE PROTEIN","Q9UJQ1",""," Lysosome-associated membrane glycoprotein 5 (LAMP5_HUMAN)","20","LAMP5",0.00,"false",0.00,0.00,0.00,841.00,31.45,0.00,,,,,"false"
1592.00,"SINGLE PROTEIN","O43182",""," Rho GTPase-activating protein 6 (RHG06_HUMAN)","X","ARHGAP6",0.00,"false",0.00,0.00,0.00,841.00,105.88,0.00,,,,,"false"
1593.00,"SINGLE PROTEIN","O43181",""," NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (NDUS4_HUMAN)","5","NDUFS4",0.00,"false",0.00,0.00,0.00,841.00,20.10,0.00,,,,,"false"
1594.00,"SINGLE PROTEIN","Q14953",""," Killer cell immunoglobulin-like receptor 2DS5 (KI2S5_HUMAN)","","KIR2DS5",0.00,"false",0.00,0.00,0.00,841.00,33.62,0.00,,,,,"false"
1595.00,"SINGLE PROTEIN","Q14952",""," Killer cell immunoglobulin-like receptor 2DS3 (KI2S3_HUMAN)","","KIR2DS3",0.00,"false",0.00,0.00,0.00,841.00,33.70,0.00,,,,,"false"
1596.00,"SINGLE PROTEIN","Q13621",""," Solute carrier family 12 member 1 (S12A1_HUMAN)","15","SLC12A1",0.00,"false",0.00,0.00,0.00,841.00,121.37,0.00,,,,,"false"
1597.00,"SINGLE PROTEIN","Q13620",""," Cullin-4B (CUL4B_HUMAN)","X","CUL4B",0.00,"false",0.00,0.00,0.00,841.00,103.92,0.00,,,,,"false"
1598.00,"SINGLE PROTEIN","Q9UJQ4",""," Sal-like protein 4 (SALL4_HUMAN)","20","SALL4",0.00,"false",0.00,0.00,0.00,841.00,112.16,0.00,,,,,"false"
1599.00,"SINGLE PROTEIN","Q14957",""," Glutamate receptor ionotropic, NMDA 2C (NMDE3_HUMAN)","17","GRIN2C",0.00,"false",0.00,0.00,0.00,841.00,134.12,0.00,,,,,"false"
1600.00,"SINGLE PROTEIN","Q13625",""," Apoptosis-stimulating of p53 protein 2 (ASPP2_HUMAN)","1","TP53BP2",0.00,"false",0.00,0.00,0.00,841.00,125.54,0.00,,,,,"false"
1601.00,"SINGLE PROTEIN","Q9UK28",""," Transmembrane protein 59-like (TM59L_HUMAN)","19","TMEM59L",0.00,"false",0.00,0.00,0.00,841.00,37.59,0.00,,,,,"false"
1602.00,"SINGLE PROTEIN","P52306",""," Rap1 GTPase-GDP dissociation stimulator 1 (GDS1_HUMAN)","4","RAP1GDS1",0.00,"false",0.00,0.00,0.00,841.00,66.27,0.00,,,,,"false"
1603.00,"RELATED PROTEINS","Q9BYT5","Q9BYU5"," Keratin-associated protein 2-2 (KRA22_HUMAN)","17","KRTAP2-2",0.00,"false",0.00,0.00,0.00,841.00,12.95,0.00,,,,,"false"
1604.00,"RELATED PROTEINS","P43694","Q15653"," Transcription factor GATA-4 (GATA4_HUMAN)","8","GATA4",0.00,"false",0.00,0.00,0.00,841.00,44.54,0.00,,,,,"false"
1605.00,"SINGLE PROTEIN","Q8WWB3",""," DPY30 domain-containing protein 1 (DYDC1_HUMAN)","10","DYDC1",0.00,"false",0.00,0.00,0.00,841.00,20.88,0.00,,,,,"false"
1606.00,"SINGLE PROTEIN","A6NEL2",""," Ankyrin repeat domain-containing protein SOWAHB (SWAHB_HUMAN)","4","SOWAHB",0.00,"false",0.00,0.00,0.00,841.00,85.69,0.00,,,,,"false"
1607.00,"SINGLE PROTEIN","A6NEL3",""," Putative protein FAM86C2P (F86C2_HUMAN)","11","FAM86C2P",0.00,"false",0.00,0.00,0.00,841.00,18.47,0.00,,,,,"false"
1608.00,"SINGLE PROTEIN","Q86WD7",""," Serpin A9 (SPA9_HUMAN)","14","SERPINA9",0.00,"false",0.00,0.00,0.00,841.00,46.53,0.00,,,,,"false"
1609.00,"SINGLE PROTEIN","P40337",""," Von Hippel-Lindau disease tumor suppressor (VHL_HUMAN)","3","VHL",0.00,"false",0.00,0.00,0.00,841.00,24.14,0.00,,,,,"false"
1610.00,"SINGLE PROTEIN","O43194",""," G-protein coupled receptor 39 (GPR39_HUMAN)","2","GPR39",0.00,"false",0.00,0.00,0.00,841.00,51.30,0.00,,,,,"false"
1611.00,"SINGLE PROTEIN","Q9UK32",""," Ribosomal protein S6 kinase alpha-6 (KS6A6_HUMAN)","X","RPS6KA6",0.00,"false",0.00,0.00,0.00,841.00,83.82,0.00,,,,,"false"
1612.00,"SINGLE PROTEIN","O43193",""," Motilin receptor (MTLR_HUMAN)","13","MLNR",0.00,"false",0.00,0.00,0.00,841.00,45.32,0.00,,,,,"false"
1613.00,"SINGLE PROTEIN","Q86VY9",""," Transmembrane protein 200A (T200A_HUMAN)","6","TMEM200A",0.00,"false",0.00,0.00,0.00,841.00,54.32,0.00,,,,,"false"
1614.00,"SINGLE PROTEIN","O43155",""," Leucine-rich repeat transmembrane protein FLRT2 (FLRT2_HUMAN)","14","FLRT2",0.00,"false",0.00,0.00,0.00,841.00,74.00,0.00,,,,,"false"
1615.00,"SINGLE PROTEIN","Q9Y546",""," Leucine-rich repeat-containing protein 42 (LRC42_HUMAN)","1","LRRC42",0.00,"false",0.00,0.00,0.00,841.00,48.54,0.00,,,,,"false"
1616.00,"SINGLE PROTEIN","Q86VY4",""," Testis-specific Y-encoded-like protein 5 (TSYL5_HUMAN)","8","TSPYL5",0.00,"false",0.00,0.00,0.00,841.00,45.12,0.00,,,,,"false"
1617.00,"SINGLE PROTEIN","Q9Y543",""," Transcription factor HES-2 (HES2_HUMAN)","1","HES2",0.00,"false",0.00,0.00,0.00,841.00,18.46,0.00,,,,,"false"
1618.00,"SINGLE PROTEIN","O43157",""," Plexin-B1 (PLXB1_HUMAN)","3","PLXNB1",0.00,"false",0.00,0.00,0.00,841.00,232.15,0.00,,,,,"false"
1619.00,"SINGLE PROTEIN","O43156",""," TELO2-interacting protein 1 homolog (TTI1_HUMAN)","20","TTI1",0.00,"false",0.00,0.00,0.00,841.00,121.99,0.00,,,,,"false"
1620.00,"SINGLE PROTEIN","P16615",""," Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (AT2A2_HUMAN)","12","ATP2A2",0.00,"false",0.00,0.00,0.00,841.00,114.68,0.00,,,,,"false"
1621.00,"SINGLE PROTEIN","Q9NVW2",""," E3 ubiquitin-protein ligase RLIM (RNF12_HUMAN)","X","RLIM",0.00,"false",0.00,0.00,0.00,841.00,68.51,0.00,,,,,"false"
1622.00,"SINGLE PROTEIN","Q9NW82",""," WD repeat-containing protein 70 (WDR70_HUMAN)","5","WDR70",0.00,"false",0.00,0.00,0.00,841.00,73.16,0.00,,,,,"false"
1623.00,"SINGLE PROTEIN","Q01650",""," Large neutral amino acids transporter small subunit 1 (LAT1_HUMAN)","16","SLC7A5",0.00,"false",0.00,0.00,0.00,841.00,54.97,0.00,,,,,"false"
1624.00,"SINGLE PROTEIN","Q9Y548",""," Protein YIPF1 (YIPF1_HUMAN)","1","YIPF1",0.00,"false",0.00,0.00,0.00,841.00,34.25,0.00,,,,,"false"
1625.00,"SINGLE PROTEIN","Q96PQ6",""," Zinc finger protein 317 (ZN317_HUMAN)","19","ZNF317",0.00,"false",0.00,0.00,0.00,841.00,67.91,0.00,,,,,"false"
1626.00,"SINGLE PROTEIN","Q02978",""," Mitochondrial 2-oxoglutarate/malate carrier protein (M2OM_HUMAN)","17","SLC25A11",0.00,"false",0.00,0.00,0.00,841.00,34.04,0.00,,,,,"false"
1627.00,"SINGLE PROTEIN","Q96PQ5",""," Putative protein phosphatase inhibitor 2-like protein 1 (IPP2L_HUMAN)","6","PPP1R2P1",0.00,"false",0.00,0.00,0.00,841.00,22.85,0.00,,,,,"false"
1628.00,"SINGLE PROTEIN","Q96PQ0",""," VPS10 domain-containing receptor SorCS2 (SORC2_HUMAN)","4","SORCS2",0.00,"false",0.00,0.00,0.00,841.00,128.07,0.00,,,,,"false"
1629.00,"SINGLE PROTEIN","Q99884",""," Sodium-dependent proline transporter (SC6A7_HUMAN)","5","SLC6A7",0.00,"false",0.00,0.00,0.00,841.00,70.86,0.00,,,,,"false"
1630.00,"SINGLE PROTEIN","P17948",""," Vascular endothelial growth factor receptor 1 (VGFR1_HUMAN)","13","FLT1",0.00,"false",0.00,0.00,0.00,841.00,150.67,0.00,,,,,"false"
1631.00,"SINGLE PROTEIN","Q96PQ1",""," Sialic acid-binding Ig-like lectin 12 (SIG12_HUMAN)","19","SIGLEC12",0.00,"false",0.00,0.00,0.00,841.00,64.94,0.00,,,,,"false"
1632.00,"SINGLE PROTEIN","Q86VZ2",""," WD repeat-containing protein 5B (WDR5B_HUMAN)","3","WDR5B",0.00,"false",0.00,0.00,0.00,841.00,36.32,0.00,,,,,"false"
1633.00,"SINGLE PROTEIN","P30926",""," Neuronal acetylcholine receptor subunit beta-4 (ACHB4_HUMAN)","15","CHRNB4",0.00,"false",0.00,0.00,0.00,841.00,56.34,0.00,,,,,"false"
1634.00,"SINGLE PROTEIN","Q86VZ1",""," P2Y purinoceptor 8 (P2RY8_HUMAN)","X","P2RY8",0.00,"false",0.00,0.00,0.00,841.00,40.61,0.00,,,,,"false"
1635.00,"SINGLE PROTEIN","Q96PQ7",""," Kelch-like protein 5 (KLHL5_HUMAN)","4","KLHL5",0.00,"false",0.00,0.00,0.00,841.00,84.40,0.00,,,,,"false"
1636.00,"SINGLE PROTEIN","O43166",""," Signal-induced proliferation-associated 1-like protein 1 (SI1L1_HUMAN)","14","SIPA1L1",0.00,"false",0.00,0.00,0.00,841.00,199.90,0.00,,,,,"false"
