"CSF-PR / CSF MIXED-MODE BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
513.00,"SINGLE PROTEIN","Q6KC79",""," Nipped-B-like protein (NIPBL_HUMAN)","5","NIPBL",0.00,"false",0.00,0.00,0.00,547.00,315.85,37.66,,,,,"false"
514.00,"SINGLE PROTEIN","P56715",""," Oxygen-regulated protein 1 (RP1_HUMAN)","8","RP1",0.00,"false",0.00,0.00,0.00,547.00,240.51,37.66,,,,,"false"
515.00,"SINGLE PROTEIN","P49798",""," Regulator of G-protein signaling 4 (RGS4_HUMAN)","1","RGS4",0.00,"false",0.00,0.00,0.00,547.00,23.24,37.66,,,,,"false"
516.00,"SINGLE PROTEIN","P63261",""," Actin, cytoplasmic 2 (ACTG_HUMAN)","17","ACTG1",10.67,"true",3.00,5.00,0.01,207.00,41.77,37.48,,,,,"false"
517.00,"SINGLE PROTEIN","P11388",""," DNA topoisomerase 2-alpha (TOP2A_HUMAN)","17","TOP2A",0.00,"false",0.00,0.00,0.00,547.00,174.28,37.48,,,,,"false"
518.00,"SINGLE PROTEIN","Q14114",""," Low-density lipoprotein receptor-related protein 8 (LRP8_HUMAN)","1","LRP8",0.00,"false",0.00,0.00,0.00,547.00,105.57,37.29,,,,,"false"
519.00,"SINGLE PROTEIN","P25116",""," Proteinase-activated receptor 1 (PAR1_HUMAN)","5","F2R",3.29,"false",1.00,3.00,0.01,203.00,47.41,37.10,,,,,"false"
520.00,"SINGLE PROTEIN","Q8TEU8",""," WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 (WFKN2_HUMAN)","17","WFIKKN2",5.03,"false",1.00,1.00,0.00,471.00,63.90,37.10,,,,,"false"
521.00,"SINGLE PROTEIN","O43613",""," Orexin receptor type 1 (OX1R_HUMAN)","1","HCRTR1",0.00,"false",0.00,0.00,0.00,547.00,47.50,37.10,,,,,"false"
522.00,"SINGLE PROTEIN","P07711",""," Cathepsin L1 (CATL1_HUMAN)","9","CTSL1",0.00,"false",0.00,0.00,0.00,547.00,37.54,37.10,,,,,"false"
523.00,"SINGLE PROTEIN","A4FU69",""," EF-hand calcium-binding domain-containing protein 5 (EFCB5_HUMAN)","17","EFCAB5",0.00,"false",0.00,1.00,0.00,516.00,173.29,37.10,,,,,"false"
524.00,"SINGLE PROTEIN","O75128",""," Protein cordon-bleu (COBL_HUMAN)","7","COBL",0.00,"false",0.00,0.00,0.00,547.00,135.53,37.10,,,,,"false"
525.00,"SINGLE PROTEIN","Q86US8",""," Telomerase-binding protein EST1A (EST1A_HUMAN)","17","SMG6",0.00,"false",0.00,1.00,0.00,541.00,160.36,36.91,,,,,"false"
526.00,"SINGLE PROTEIN","Q96PQ0",""," VPS10 domain-containing receptor SorCS2 (SORC2_HUMAN)","4","SORCS2",1.90,"false",1.00,1.00,0.00,497.00,128.07,36.72,,,,,"false"
527.00,"SINGLE PROTEIN","A6NN14",""," Zinc finger protein 729 (ZN729_HUMAN)","19","ZNF729",1.53,"false",1.00,1.00,0.00,489.00,135.66,36.72,,,,,"false"
528.00,"SINGLE PROTEIN","Q9Y561",""," Low-density lipoprotein receptor-related protein 12 (LRP12_HUMAN)","8","LRP12",0.00,"false",0.00,0.00,0.00,547.00,94.92,36.72,,,,,"false"
529.00,"SINGLE PROTEIN","O75376",""," Nuclear receptor corepressor 1 (NCOR1_HUMAN)","17","NCOR1",0.00,"false",0.00,0.00,0.00,547.00,270.04,36.72,,,,,"false"
530.00,"SINGLE PROTEIN","Q5T0W9",""," Protein FAM83B (FA83B_HUMAN)","6","FAM83B",0.00,"false",0.00,0.00,0.00,547.00,114.73,36.72,,,,,"false"
531.00,"SINGLE PROTEIN","Q6ZMN7",""," PDZ domain-containing RING finger protein 4 (PZRN4_HUMAN)","12","PDZRN4",0.00,"false",0.00,0.00,0.00,547.00,117.03,36.72,,,,,"false"
532.00,"SINGLE PROTEIN","Q00975",""," Voltage-dependent N-type calcium channel subunit alpha-1B (CAC1B_HUMAN)","9","CACNA1B",0.00,"false",0.00,0.00,0.00,547.00,262.33,36.72,,,,,"false"
533.00,"SINGLE PROTEIN","Q13367",""," AP-3 complex subunit beta-2 (AP3B2_HUMAN)","15","AP3B2",0.00,"false",0.00,0.00,0.00,547.00,118.98,36.72,,,,,"false"
534.00,"SINGLE PROTEIN","Q15833",""," Syntaxin-binding protein 2 (STXB2_HUMAN)","19","STXBP2",0.00,"false",0.00,0.00,0.00,547.00,66.41,36.72,,,,,"false"
535.00,"SINGLE PROTEIN","P01760",""," Ig heavy chain V-I region WOL (HV105_HUMAN)","","",8.87,"true",1.00,7.00,0.02,96.00,13.68,36.53,,,,,"false"
536.00,"SINGLE PROTEIN","Q96AE4",""," Far upstream element-binding protein 1 (FUBP1_HUMAN)","1","FUBP1",0.00,"false",0.00,0.00,0.00,547.00,67.52,36.53,,,,,"false"
537.00,"SINGLE PROTEIN","Q9H3R0",""," Lysine-specific demethylase 4C (KDM4C_HUMAN)","9","KDM4C",0.00,"false",0.00,0.00,0.00,547.00,119.90,36.53,,,,,"false"
538.00,"SINGLE PROTEIN","Q7Z460",""," CLIP-associating protein 1 (CLAP1_HUMAN)","2","CLASP1",0.00,"false",0.00,0.00,0.00,547.00,169.35,36.53,,,,,"false"
539.00,"SINGLE PROTEIN","Q86VQ3",""," Thioredoxin domain-containing protein 2 (TXND2_HUMAN)","18","TXNDC2",0.00,"false",0.00,0.00,0.00,547.00,60.37,36.53,,,,,"false"
540.00,"SINGLE PROTEIN","Q9UN79",""," Transcription factor SOX-13 (SOX13_HUMAN)","1","SOX13",0.00,"false",0.00,0.00,0.00,547.00,69.18,36.53,,,,,"false"
541.00,"SINGLE PROTEIN","Q7Z5N4",""," Protein sidekick-1 (SDK1_HUMAN)","7","SDK1",0.00,"false",0.00,0.00,0.00,547.00,241.96,36.53,,,,,"false"
542.00,"SINGLE PROTEIN","Q70CQ2",""," Ubiquitin carboxyl-terminal hydrolase 34 (UBP34_HUMAN)","2","USP34",0.00,"false",0.00,1.00,0.00,505.00,403.97,36.53,,,,,"false"
543.00,"SINGLE PROTEIN","Q8NCM8",""," Cytoplasmic dynein 2 heavy chain 1 (DYHC2_HUMAN)","11","DYNC2H1",0.00,"false",0.00,1.00,0.00,536.00,492.31,36.53,,,,,"false"
544.00,"SINGLE PROTEIN","A1L3X4",""," Putative metallothionein MT1DP (MT1DP_HUMAN)","16","MT1DP",0.00,"false",0.00,1.00,0.01,243.00,4.98,36.53,,,,,"false"
545.00,"SINGLE PROTEIN","Q12946",""," Forkhead box protein F1 (FOXF1_HUMAN)","16","FOXF1",0.00,"false",0.00,0.00,0.00,547.00,40.10,36.53,,,,,"false"
546.00,"SINGLE PROTEIN","Q6UB98",""," Ankyrin repeat domain-containing protein 12 (ANR12_HUMAN)","18","ANKRD12",0.00,"false",0.00,0.00,0.00,547.00,235.51,36.53,,,,,"false"
547.00,"SINGLE PROTEIN","Q9NTG1",""," Polycystic kidney disease and receptor for egg jelly-related protein (PKDRE_HUMAN)","22","PKDREJ",0.00,"false",0.00,0.00,0.00,547.00,255.29,36.53,,,,,"false"
548.00,"SINGLE PROTEIN","Q15398",""," Disks large-associated protein 5 (DLGP5_HUMAN)","14","DLGAP5",0.00,"false",0.00,0.00,0.00,547.00,95.06,36.47,,,,,"false"
549.00,"SINGLE PROTEIN","P20585",""," DNA mismatch repair protein Msh3 (MSH3_HUMAN)","5","MSH3",0.00,"false",0.00,0.00,0.00,547.00,127.33,36.35,,,,,"false"
550.00,"SINGLE PROTEIN","P78312",""," Protein FAM193A (F193A_HUMAN)","4","FAM193A",0.00,"false",0.00,0.00,0.00,547.00,139.90,36.16,,,,,"false"
551.00,"SINGLE PROTEIN","Q8N1W2",""," Zinc finger protein 710 (ZN710_HUMAN)","15","ZNF710",0.00,"false",0.00,0.00,0.00,547.00,74.41,35.97,,,,,"false"
552.00,"SINGLE PROTEIN","Q92932",""," Receptor-type tyrosine-protein phosphatase N2 (PTPR2_HUMAN)","7","PTPRN2",2.17,"false",1.00,1.00,0.00,498.00,111.20,35.78,,,,,"false"
553.00,"SINGLE PROTEIN","Q86Y38",""," Xylosyltransferase 1 (XYLT1_HUMAN)","16","XYLT1",0.00,"false",0.00,0.00,0.00,547.00,107.50,35.78,,,,,"false"
554.00,"SINGLE PROTEIN","Q9HC96",""," Calpain-10 (CAN10_HUMAN)","2","CAPN10",0.00,"false",0.00,0.00,0.00,547.00,74.90,35.78,,,,,"false"
555.00,"SINGLE PROTEIN","Q9UM47",""," Neurogenic locus notch homolog protein 3 (NOTC3_HUMAN)","19","NOTCH3",0.00,"false",0.00,0.00,0.00,547.00,243.47,35.78,,,,,"false"
556.00,"SINGLE PROTEIN","P02786",""," Transferrin receptor protein 1 (TFR1_HUMAN)","3","TFRC",0.00,"false",0.00,1.00,0.00,408.00,84.82,35.78,,,,,"false"
557.00,"SINGLE PROTEIN","Q9GZR1",""," Sentrin-specific protease 6 (SENP6_HUMAN)","6","SENP6",0.00,"false",0.00,0.00,0.00,547.00,126.07,35.78,,,,,"false"
558.00,"SINGLE PROTEIN","Q8TDZ2",""," Protein-methionine sulfoxide oxidase MICAL1 (MICA1_HUMAN)","6","MICAL1",0.00,"false",0.00,0.00,0.00,547.00,117.80,35.78,,,,,"false"
559.00,"SINGLE PROTEIN","Q12986",""," Transcriptional repressor NF-X1 (NFX1_HUMAN)","9","NFX1",0.00,"false",0.00,0.00,0.00,547.00,124.31,35.78,,,,,"false"
560.00,"SINGLE PROTEIN","Q6ZQQ6",""," WD repeat-containing protein 87 (WDR87_HUMAN)","19","WDR87",0.00,"false",0.00,0.00,0.00,547.00,332.97,35.78,,,,,"false"
561.00,"SINGLE PROTEIN","P62877",""," E3 ubiquitin-protein ligase RBX1 (RBX1_HUMAN)","22","RBX1",0.00,"false",0.00,0.00,0.00,547.00,12.27,35.78,,,,,"false"
562.00,"SINGLE PROTEIN","P35125",""," Ubiquitin carboxyl-terminal hydrolase 6 (UBP6_HUMAN)","17","USP6",0.00,"false",0.00,0.00,0.00,547.00,158.56,35.78,,,,,"false"
563.00,"SINGLE PROTEIN","Q8WWZ4",""," ATP-binding cassette sub-family A member 10 (ABCAA_HUMAN)","17","ABCA10",0.00,"false",0.00,0.00,0.00,547.00,175.68,35.59,,,,,"false"
564.00,"SINGLE PROTEIN","O75478",""," Transcriptional adapter 2-alpha (TAD2A_HUMAN)","17","TADA2A",0.00,"false",0.00,0.00,0.00,547.00,51.47,35.59,,,,,"false"
565.00,"SINGLE PROTEIN","Q5QJ38",""," Trichohyalin-like protein 1 (TCHL1_HUMAN)","1","TCHHL1",0.00,"false",0.00,0.00,0.00,547.00,99.22,35.59,,,,,"false"
566.00,"SINGLE PROTEIN","O15015",""," Zinc finger protein 646 (ZN646_HUMAN)","16","ZNF646",0.00,"false",0.00,0.00,0.00,547.00,200.64,35.59,,,,,"false"
567.00,"SINGLE PROTEIN","Q5T8A7",""," Protein phosphatase 1 regulatory subunit 26 (PPR26_HUMAN)","9","PPP1R26",0.00,"false",0.00,0.00,0.00,547.00,127.27,35.59,,,,,"false"
568.00,"SINGLE PROTEIN","O95402",""," Mediator of RNA polymerase II transcription subunit 26 (MED26_HUMAN)","19","MED26",0.00,"false",0.00,0.00,0.00,547.00,65.41,35.59,,,,,"false"
569.00,"SINGLE PROTEIN","P08572",""," Collagen alpha-2(IV) chain (CO4A2_HUMAN)","13","COL4A2",0.00,"false",0.00,0.00,0.00,547.00,167.45,35.40,,,,,"false"
570.00,"SINGLE PROTEIN","Q9UMN6",""," Histone-lysine N-methyltransferase 2B (KMT2B_HUMAN)","","WBP7",0.00,"false",0.00,0.00,0.00,547.00,293.33,35.40,,,,,"false"
571.00,"SINGLE PROTEIN","Q14571",""," Inositol 1,4,5-trisphosphate receptor type 2 (ITPR2_HUMAN)","12","ITPR2",0.00,"false",0.00,0.00,0.00,547.00,307.87,35.40,,,,,"false"
572.00,"SINGLE PROTEIN","Q9H6Y2",""," WD repeat-containing protein 55 (WDR55_HUMAN)","5","WDR55",0.00,"false",0.00,1.00,0.00,413.00,42.04,35.22,,,,,"false"
573.00,"SINGLE PROTEIN","Q9ULB1",""," Neurexin-1 (NRX1A_HUMAN)","2","NRXN1",1.08,"false",1.00,1.00,0.00,535.00,161.78,35.03,,,,,"false"
574.00,"SINGLE PROTEIN","O96013",""," Serine/threonine-protein kinase PAK 4 (PAK4_HUMAN)","19","PAK4",1.52,"false",1.00,1.00,0.00,429.00,64.03,35.03,,,,,"false"
575.00,"SINGLE PROTEIN","Q9NU22",""," Midasin (MDN1_HUMAN)","6","MDN1",0.00,"false",0.00,0.00,0.00,547.00,632.42,35.03,,,,,"false"
576.00,"SINGLE PROTEIN","O95801",""," Tetratricopeptide repeat protein 4 (TTC4_HUMAN)","1","TTC4",0.00,"false",0.00,0.00,0.00,547.00,44.65,35.03,,,,,"false"
577.00,"SINGLE PROTEIN","O14497",""," AT-rich interactive domain-containing protein 1A (ARI1A_HUMAN)","1","ARID1A",0.00,"false",0.00,0.00,0.00,547.00,241.89,35.03,,,,,"false"
578.00,"SINGLE PROTEIN","Q32MZ4",""," Leucine-rich repeat flightless-interacting protein 1 (LRRF1_HUMAN)","2","LRRFIP1",0.00,"false",0.00,0.00,0.00,547.00,89.20,35.03,,,,,"false"
579.00,"SINGLE PROTEIN","P41743",""," Protein kinase C iota type (KPCI_HUMAN)","3","PRKCI",0.00,"false",0.00,0.00,0.00,547.00,68.22,35.03,,,,,"false"
580.00,"SINGLE PROTEIN","Q96B26",""," Exosome complex component RRP43 (EXOS8_HUMAN)","13","EXOSC8",0.00,"false",0.00,0.00,0.00,547.00,30.02,35.03,,,,,"false"
581.00,"SINGLE PROTEIN","P55317",""," Hepatocyte nuclear factor 3-alpha (FOXA1_HUMAN)","14","FOXA1",0.00,"false",0.00,0.00,0.00,547.00,49.12,35.03,,,,,"false"
582.00,"SINGLE PROTEIN","Q9P212",""," 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (PLCE1_HUMAN)","10","PLCE1",0.00,"false",0.00,0.00,0.00,547.00,258.55,35.03,,,,,"false"
583.00,"SINGLE PROTEIN","Q6Y1H2",""," Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 (HACD2_HUMAN)","3","PTPLB",0.00,"false",0.00,0.00,0.00,547.00,28.35,35.03,,,,,"false"
584.00,"SINGLE PROTEIN","Q96JN8",""," Neuralized-like protein 4 (NEUL4_HUMAN)","17","NEURL4",0.00,"false",0.00,1.00,0.00,509.00,166.80,35.03,,,,,"false"
585.00,"SINGLE PROTEIN","Q6NXT1",""," Ankyrin repeat domain-containing protein 54 (ANR54_HUMAN)","22","ANKRD54",0.00,"false",0.00,0.00,0.00,547.00,32.49,34.84,,,,,"false"
586.00,"SINGLE PROTEIN","O75334",""," Liprin-alpha-2 (LIPA2_HUMAN)","12","PPFIA2",0.00,"false",0.00,0.00,0.00,547.00,143.20,34.84,,,,,"false"
587.00,"SINGLE PROTEIN","Q7Z309",""," Protein FAM122B (F122B_HUMAN)","X","FAM122B",0.00,"false",0.00,0.00,0.00,547.00,26.91,34.65,,,,,"false"
588.00,"SINGLE PROTEIN","O96014",""," Protein Wnt-11 (WNT11_HUMAN)","11","WNT11",0.00,"false",0.00,0.00,0.00,547.00,39.15,34.65,,,,,"false"
589.00,"SINGLE PROTEIN","O95198",""," Kelch-like protein 2 (KLHL2_HUMAN)","4","KLHL2",0.00,"false",0.00,0.00,0.00,547.00,65.93,34.65,,,,,"false"
590.00,"SINGLE PROTEIN","Q9C0B9",""," Zinc finger CCHC domain-containing protein 2 (ZCHC2_HUMAN)","18","ZCCHC2",0.00,"false",0.00,0.00,0.00,547.00,125.86,34.65,,,,,"false"
591.00,"SINGLE PROTEIN","P02458",""," Collagen alpha-1(II) chain (CO2A1_HUMAN)","12","COL2A1",0.00,"false",0.00,0.00,0.00,547.00,141.70,34.46,,,,,"false"
592.00,"SINGLE PROTEIN","Q9H175",""," Cysteine/serine-rich nuclear protein 2 (CSRN2_HUMAN)","12","CSRNP2",0.00,"false",0.00,0.00,0.00,547.00,59.55,34.40,,,,,"false"
593.00,"SINGLE PROTEIN","Q66K66",""," Transmembrane protein 198 (TM198_HUMAN)","2","TMEM198",0.00,"false",0.00,0.00,0.00,547.00,39.45,34.27,,,,,"false"
594.00,"SINGLE PROTEIN","P80192",""," Mitogen-activated protein kinase kinase kinase 9 (M3K9_HUMAN)","14","MAP3K9",0.00,"false",0.00,1.00,0.00,495.00,121.82,34.27,,,,,"false"
595.00,"SINGLE PROTEIN","Q96A73",""," Putative monooxygenase p33MONOX (P33MX_HUMAN)","5","KIAA1191",0.00,"false",0.00,0.00,0.00,547.00,33.23,34.09,,,,,"false"
596.00,"SINGLE PROTEIN","Q86VP3",""," Phosphofurin acidic cluster sorting protein 2 (PACS2_HUMAN)","14","PACS2",0.00,"false",0.00,0.00,0.00,547.00,97.64,34.09,,,,,"false"
597.00,"SINGLE PROTEIN","Q9P2G9",""," Kelch-like protein 8 (KLHL8_HUMAN)","4","KLHL8",0.00,"false",0.00,0.00,0.00,547.00,68.76,34.09,,,,,"false"
598.00,"SINGLE PROTEIN","Q9P1Q5",""," Olfactory receptor 1A1 (OR1A1_HUMAN)","17","OR1A1",0.00,"false",0.00,0.00,0.00,547.00,34.54,34.09,,,,,"false"
599.00,"SINGLE PROTEIN","P16035",""," Metalloproteinase inhibitor 2 (TIMP2_HUMAN)","17","TIMP2",0.00,"false",0.00,0.00,0.00,547.00,24.38,34.09,,,,,"false"
600.00,"SINGLE PROTEIN","P22492",""," Histone H1t (H1T_HUMAN)","6","HIST1H1T",0.00,"false",0.00,0.00,0.00,547.00,22.01,33.96,,,,,"false"
601.00,"SINGLE PROTEIN","P35442",""," Thrombospondin-2 (TSP2_HUMAN)","6","THBS2",0.00,"false",0.00,0.00,0.00,547.00,129.91,33.90,,,,,"false"
602.00,"SINGLE PROTEIN","Q9H0R1",""," AP-5 complex subunit mu-1 (AP5M1_HUMAN)","14","AP5M1",0.00,"false",0.00,0.00,0.00,547.00,54.73,33.90,,,,,"false"
603.00,"RELATED PROTEINS","Q9BYT5","Q9BYU5"," Keratin-associated protein 2-2 (KRA22_HUMAN)","17","KRTAP2-2",0.00,"false",0.00,0.00,0.00,547.00,12.95,33.83,,,,,"false"
604.00,"SINGLE PROTEIN","Q8TBC3",""," SH3KBP1-binding protein 1 (SHKB1_HUMAN)","19","SHKBP1",0.00,"false",0.00,0.00,0.00,547.00,76.30,33.83,,,,,"false"
605.00,"SINGLE PROTEIN","P35908",""," Keratin, type II cytoskeletal 2 epidermal (K22E_HUMAN)","12","KRT2",3.13,"false",2.00,3.00,0.00,369.00,65.39,33.71,,,,,"false"
606.00,"SINGLE PROTEIN","O95996",""," Adenomatous polyposis coli protein 2 (APC2_HUMAN)","19","APC2",0.00,"false",0.00,0.00,0.00,547.00,243.80,33.71,,,,,"false"
607.00,"SINGLE PROTEIN","Q8WWM7",""," Ataxin-2-like protein (ATX2L_HUMAN)","16","ATXN2L",0.00,"false",0.00,0.00,0.00,547.00,113.30,33.71,,,,,"false"
608.00,"SINGLE PROTEIN","Q63HN8",""," E3 ubiquitin-protein ligase RNF213 (RN213_HUMAN)","17","RNF213",0.00,"false",0.00,0.00,0.00,547.00,591.03,33.71,,,,,"false"
609.00,"SINGLE PROTEIN","Q9UIC8",""," Leucine carboxyl methyltransferase 1 (LCMT1_HUMAN)","16","LCMT1",0.00,"false",0.00,0.00,0.00,547.00,38.35,33.71,,,,,"false"
610.00,"SINGLE PROTEIN","Q92805",""," Golgin subfamily A member 1 (GOGA1_HUMAN)","9","GOLGA1",0.00,"false",0.00,0.00,0.00,547.00,88.13,33.71,,,,,"false"
611.00,"SINGLE PROTEIN","P28715",""," DNA repair protein complementing XP-G cells (ERCC5_HUMAN)","13","ERCC5",0.00,"false",0.00,1.00,0.00,480.00,133.03,33.71,,,,,"false"
612.00,"SINGLE PROTEIN","Q4G0N4",""," NAD kinase 2, mitochondrial (NAKD2_HUMAN)","5","NADKD1",0.00,"false",0.00,0.00,0.00,547.00,49.40,33.71,,,,,"false"
613.00,"SINGLE PROTEIN","Q8TEL6",""," Short transient receptor potential channel 4-associated protein (TP4AP_HUMAN)","20","TRPC4AP",0.00,"false",0.00,0.00,0.00,547.00,90.79,33.71,,,,,"false"
614.00,"SINGLE PROTEIN","O00512",""," B-cell CLL/lymphoma 9 protein (BCL9_HUMAN)","1","BCL9",0.00,"false",0.00,0.00,0.00,547.00,149.19,33.71,,,,,"false"
615.00,"SINGLE PROTEIN","Q8TE59",""," A disintegrin and metalloproteinase with thrombospondin motifs 19 (ATS19_HUMAN)","5","ADAMTS19",0.00,"false",0.00,0.00,0.00,547.00,133.96,33.71,,,,,"false"
616.00,"SINGLE PROTEIN","P61011",""," Signal recognition particle 54 kDa protein (SRP54_HUMAN)","14","SRP54",0.00,"false",0.00,0.00,0.00,547.00,55.67,33.71,,,,,"false"
617.00,"SINGLE PROTEIN","Q8NI08",""," Nuclear receptor coactivator 7 (NCOA7_HUMAN)","6","NCOA7",0.00,"false",0.00,0.00,0.00,547.00,106.10,33.71,,,,,"false"
618.00,"SINGLE PROTEIN","Q9UPZ6",""," Thrombospondin type-1 domain-containing protein 7A (THS7A_HUMAN)","7","THSD7A",0.00,"false",0.00,0.00,0.00,547.00,185.24,33.58,,,,,"false"
619.00,"SINGLE PROTEIN","Q9Y2K3",""," Myosin-15 (MYH15_HUMAN)","3","MYH15",0.00,"false",0.00,0.00,0.00,547.00,224.48,33.33,,,,,"false"
620.00,"SINGLE PROTEIN","Q8TDM6",""," Disks large homolog 5 (DLG5_HUMAN)","10","DLG5",0.00,"false",0.00,0.00,0.00,547.00,213.74,33.08,,,,,"false"
621.00,"SINGLE PROTEIN","Q63ZE4",""," Solute carrier family 22 member 10 (S22AA_HUMAN)","11","SLC22A10",0.00,"false",0.00,0.00,0.00,547.00,60.22,32.65,,,,,"false"
622.00,"SINGLE PROTEIN","Q8IWN7",""," Retinitis pigmentosa 1-like 1 protein (RP1L1_HUMAN)","8","RP1L1",0.00,"false",0.00,0.00,0.00,547.00,261.05,32.40,,,,,"false"
623.00,"SINGLE PROTEIN","Q8TBN0",""," Guanine nucleotide exchange factor for Rab-3A (R3GEF_HUMAN)","11","RAB3IL1",0.00,"false",0.00,0.00,0.00,547.00,42.61,32.16,,,,,"false"
624.00,"SINGLE PROTEIN","Q9UMS6",""," Synaptopodin-2 (SYNP2_HUMAN)","4","SYNPO2",0.00,"false",0.00,0.00,0.00,547.00,117.44,32.10,,,,,"false"
625.00,"SINGLE PROTEIN","Q13129",""," Zinc finger protein Rlf (RLF_HUMAN)","1","RLF",0.00,"false",0.00,0.00,0.00,547.00,217.81,31.98,,,,,"false"
626.00,"SINGLE PROTEIN","O75417",""," DNA polymerase theta (DPOLQ_HUMAN)","3","POLQ",0.00,"false",0.00,1.00,0.00,542.00,289.44,31.85,,,,,"false"
627.00,"SINGLE PROTEIN","Q9Y215",""," Acetylcholinesterase collagenic tail peptide (COLQ_HUMAN)","3","COLQ",0.00,"false",0.00,1.00,0.00,375.00,47.74,31.73,,,,,"false"
628.00,"SINGLE PROTEIN","Q9UL17",""," T-box transcription factor TBX21 (TBX21_HUMAN)","17","TBX21",0.00,"false",0.00,1.00,0.00,420.00,58.29,31.65,,,,,"false"
629.00,"SINGLE PROTEIN","Q8TD57",""," Dynein heavy chain 3, axonemal (DYH3_HUMAN)","16","DNAH3",0.00,"false",0.00,0.00,0.00,547.00,470.47,31.63,,,,,"false"
630.00,"SINGLE PROTEIN","Q8NEZ4",""," Histone-lysine N-methyltransferase 2C (KMT2C_HUMAN)","7","MLL3",0.00,"false",0.00,0.00,0.00,547.00,541.03,31.59,,,,,"false"
631.00,"SINGLE PROTEIN","Q9P2B7",""," Cilia- and flagella-associated protein 97 (CFA97_HUMAN)","4","KIAA1430",0.00,"false",0.00,1.00,0.00,364.00,59.44,31.57,,,,,"false"
632.00,"SINGLE PROTEIN","Q08499",""," cAMP-specific 3',5'-cyclic phosphodiesterase 4D (PDE4D_HUMAN)","5","PDE4D",0.00,"false",0.00,0.00,0.00,547.00,91.06,31.56,,,,,"false"
633.00,"SINGLE PROTEIN","Q9BRG2",""," SH2 domain-containing protein 3A (SH23A_HUMAN)","19","SH2D3A",0.00,"false",0.00,0.00,0.00,547.00,63.05,31.52,,,,,"false"
634.00,"SINGLE PROTEIN","Q6UXS9",""," Inactive caspase-12 (CASPC_HUMAN)","11","CASP12",6.16,"false",1.00,2.00,0.01,251.00,38.84,31.51,,,,,"false"
635.00,"SINGLE PROTEIN","P30872",""," Somatostatin receptor type 1 (SSR1_HUMAN)","14","SSTR1",0.00,"false",0.00,0.00,0.00,547.00,42.66,31.50,,,,,"false"
636.00,"SINGLE PROTEIN","P48681",""," Nestin (NEST_HUMAN)","1","NES",0.00,"false",0.00,0.00,0.00,547.00,177.33,31.43,,,,,"false"
637.00,"SINGLE PROTEIN","Q8NAA4",""," Autophagy-related protein 16-2 (A16L2_HUMAN)","11","ATG16L2",0.00,"false",0.00,0.00,0.00,547.00,68.96,31.40,,,,,"false"
638.00,"RELATED PROTEINS","P07437","P68371,Q13509,Q13885,Q9BVA1"," Tubulin beta chain (TBB5_HUMAN)","6","TUBB",4.05,"false",1.00,1.00,0.00,406.00,49.64,31.31,,,,,"false"
639.00,"SINGLE PROTEIN","Q9Y2G3",""," Probable phospholipid-transporting ATPase IF (AT11B_HUMAN)","3","ATP11B",0.00,"false",0.00,0.00,0.00,547.00,134.10,31.31,,,,,"false"
640.00,"SINGLE PROTEIN","Q9H2D6",""," TRIO and F-actin-binding protein (TARA_HUMAN)","22","TRIOBP",0.00,"false",0.00,0.00,0.00,547.00,261.22,31.27,,,,,"false"
641.00,"SINGLE PROTEIN","Q5THJ4",""," Vacuolar protein sorting-associated protein 13D (VP13D_HUMAN)","1","VPS13D",0.00,"false",0.00,0.00,0.00,547.00,491.54,31.18,,,,,"false"
642.00,"SINGLE PROTEIN","Q96PX8",""," SLIT and NTRK-like protein 1 (SLIK1_HUMAN)","13","SLITRK1",2.87,"false",1.00,2.00,0.00,313.00,77.69,31.06,,,,,"false"
643.00,"SINGLE PROTEIN","Q96KE9",""," BTB/POZ domain-containing protein 6 (BTBD6_HUMAN)","14","BTBD6",5.15,"true",1.00,2.00,0.01,272.00,53.38,31.06,,,,,"false"
644.00,"SINGLE PROTEIN","Q96JB8",""," MAGUK p55 subfamily member 4 (MPP4_HUMAN)","2","MPP4",0.00,"false",0.00,0.00,0.00,547.00,72.73,31.06,,,,,"false"
645.00,"SINGLE PROTEIN","P30566",""," Adenylosuccinate lyase (PUR8_HUMAN)","22","ADSL",0.00,"false",0.00,0.00,0.00,547.00,54.85,30.92,,,,,"false"
646.00,"SINGLE PROTEIN","O75592",""," E3 ubiquitin-protein ligase MYCBP2 (MYCB2_HUMAN)","13","MYCBP2",0.00,"false",0.00,0.00,0.00,547.00,509.76,30.88,,,,,"false"
647.00,"SINGLE PROTEIN","Q9NZJ5",""," Eukaryotic translation initiation factor 2-alpha kinase 3 (E2AK3_HUMAN)","2","EIF2AK3",1.97,"false",1.00,2.00,0.00,376.00,125.14,30.80,,,,,"false"
648.00,"SINGLE PROTEIN","Q08211",""," ATP-dependent RNA helicase A (DHX9_HUMAN)","1","DHX9",0.00,"false",0.00,0.00,0.00,547.00,140.87,30.76,,,,,"false"
