Entry	Mass
Q05D32	52,999
Q12830	338,262
Q9H3K6	10,117
Q4G0I0	15,004
Q3ZCQ2	21,682
Q5VT79	36,879
Q9P2W7	38,256
Q6Y288	56,564
Q6UXQ4	13,321
O60729	56,802
P25774	37,496
Q13948	77,455
Q96JN2	134,045
Q92851	58,951
Q9UBR2	33,868
Q9P0B6	11,459
Q9BRT8	44,068
O60840	220,678
Q9BUN5	22,037
Q3MIR4	38,941
Q8IYL3	25,977
Q8TF44	44,576
Q8N1Q1	29,443
Q8TAB7	13,192
Q16667	23,805
D6RIA3	190,074
Q8IU99	38,264
Q96K31	43,273
O14757	54,434
P01732	25,729
Q09013	69,385
Q6ZPD8	38,593
Q53EZ4	54,178
Q96LK0	19,166
Q5TB80	161,943
Q9NRW4	20,910
Q9C0A0	145,274
P51798	88,679
P56750	24,603
Q32M92	20,262
P53674	28,023
P33260	55,711
Q8WWB3	20,893
P54108	27,630
P78560	22,745
Q5T3F8	94,958
Q14061	6,915
Q6JBY9	44,504
P38432	62,608
Q6UWE3	10,812
O60888	19,116
Q96EX3	57,801
P60022	7,420
Q9NYF0	90,174
Q7Z6M2	62,630
Q902F9	79,195
P17813	70,578
Q15723	63,967
Q99607	70,730
P0C2L3	18,190
Q8TE68	80,251
Q8IV48	40,064
Q92567	26,184
P0DP91	119,487
Q96CN4	91,376
P49640	42,440
Q56NI9	68,307
P62508	51,306
Q17RC7	79,896
Q86VI1	81,678
P23141	62,521
Q9ULE4	121,044
Q9BVV8	14,249
Q6UXB0	39,503
Q9NQT5	29,572
Q5T1M5	133,630
Q8TF61	94,496
Q15485	34,001
P21781	22,509
Q96BQ1	24,963
Q96CS3	52,623
Q9UBX0	21,409
P31371	23,441
Q96C11	59,993
Q92636	104,372
Q9NVK5	29,426
Q8NFZ0	117,686
Q9HAH7	48,388
P87889	74,139
P63126	74,005
P0DTW1	12,885
Q8WW38	128,159
P55040	33,949
Q9BXV9	10,859
P38919	46,871
Q9Y6Y9	18,546
Q14626	45,222
Q9NX62	38,681
Q9H0B3	127,693
A1A4Y4	20,142
A8MZ59	22,358
Q701N2	21,409
Q5T5B0	9,507
Q3LI67	10,409
A8MTY7	17,793
Q9BYQ3	16,854
P07942	198,038
P24043	343,905
P62502	18,045
Q13601	43,665
P42167	50,670
P60413	25,107
O75449	55,965
A0A087WSZ0	12,837
P59990	9,737
Q6ZMR3	36,507
A0A0C4DH25	12,515
Q3LI73	9,106
P09848	218,587
Q8NA19	71,122
P10911	107,673
D6RGH6	41,720
Q6P1Q0	41,790
P43361	35,215
Q8WXG6	183,303
Q5VZF2	40,518
P43358	34,899
Q29980	42,575
Q9Y618	273,657
Q96RN5	86,753
Q8IYU8	49,666
P08581	155,541
Q8TC05	80,735
A6NCE7	14,628
Q9NXB0	64,528
Q8NGN3	34,569
O00566	78,864
Q96JB8	72,779
Q4G0A6	84,372
Q9UGB7	33,010
P58340	30,627
Q9H195	131,402
Q04900	20,917
Q9NYP9	25,863
Q6IN84	38,638
Q96E29	47,971
Q9Y483	67,090
O75629	24,075
Q9H693	16,793
Q96MW5	68,424
Q68CJ9	49,077
Q53SF7	123,868
Q9Y6V7	54,226
P04080	11,140
Q9NVF9	44,781
Q04741	31,295
Q05215	61,623
O75460	109,735
Q92800	85,271
Q8NHP7	58,335
P19235	55,065
Q15884	49,703
Q5T9C2	41,785
Q6P0A1	20,302
O60645	85,567
Q8IXQ9	29,461
Q8IXS8	58,647
P0CF97	76,034
Q5BKY9	28,385
Q15024	31,821
Q9BPY3	39,499
Q3ZM63	6,991
Q16134	68,495
Q9NYF3	43,091
Q96KK5	13,906
O15063	116,020
Q96HH9	47,869
O95528	56,911
Q99878	13,936
Q14416	95,568
Q9BYW1	53,703
Q96CS2	31,863
Q8TD20	66,966
Q14832	98,879
Q9NVX0	26,933
Q8IYU2	102,342
Q9BQN1	81,078
P0DMU3	18,266
P0C0S8	14,091
Q9H0X4	59,660
Q9H6D7	42,400
O94927	71,682
Q9UJ83	63,729
A0A1B0GVD1	16,331
P33947	24,422
A0A1B0GVK7	10,377
A0A1B0GVZ2	9,744
O00222	101,741
Q8NFI4	41,378
Q16877	54,040
O14944	19,044
Q16777	13,988
Q8N5W8	10,147
Q6UW88	17,091
P98073	112,935
Q9NQZ7	68,960
P54756	114,803
P62993	25,206
A6NFZ4	11,258
Q96C92	47,961
Q5TGI0	46,843
Q9NWM8	24,172
Q14318	44,562
Q9Y613	126,551
Q02790	51,805
Q9NZ56	180,106
Q6ZV73	160,816
O15228	77,188
P23416	52,002
Q5SZD4	32,704
Q9NXR8	46,743
Q8N201	244,297
O15503	29,987
Q9UNL4	28,530
Q9H0H0	134,323
Q9Y5U4	24,778
Q8WYH8	27,751
Q8NHK3	40,695
Q9NPI9	47,949
Q14954	33,618
P43631	33,502
P22612	40,434
Q14952	33,717
P54819	26,478
Q86VH2	160,283
P43632	33,583
B7U540	48,880
Q14953	33,698
P55259	59,480
Q9H116	80,492
P15260	54,405
Q96HW7	108,171
P43080	22,920
Q02747	12,388
Q6P9B9	107,995
Q02846	120,059
Q5JSJ4	96,673
O96004	23,627
Q9UBQ7	35,668
Q02539	21,842
P10412	21,865
Q9NYQ3	38,839
P28161	25,745
Q03013	25,561
Q7Z2K8	102,399
Q9H4Y5	28,254
Q9Y3R0	122,422
Q8IYK4	72,924
Q9H4S2	27,883
P58876	13,936
Q58FF6	58,264
A4D1B5	97,802
Q6EKJ0	107,233
Q6DRA6	18,018
Q1ZYL8	26,510
P23458	133,277
P26006	116,612
P13612	114,900
O60674	130,674
P08648	114,536
Q9P055	35,239
Q96N16	73,209
P23229	126,606
P52333	125,099
Q13683	128,948
Q96AA8	94,934
Q5VZ66	98,529
P53708	117,474
Q13797	114,489
Q13349	126,758
P38570	130,159
P20701	128,770
P11215	127,179
Q9NYS0	21,643
Q8WVZ9	77,163
Q9NSK0	68,640
Q8NFY9	68,823
O94819	65,720
Q3ZCT8	71,096
C9JR72	49,485
Q6PID8	49,098
Q5VTJ3	84,479
Q96G42	63,314
Q8IYD2	38,859
Q8IXV7	37,676
Q8N7A1	46,720
Q9Y2U9	46,099
Q9BQ90	43,088
Q16774	21,726
Q8N752	39,086
Q8TBB5	57,892
Q8NEP7	37,754
P48729	38,915
Q13118	52,555
O14901	55,139
P48730	47,330
Q9Y4X4	44,240
Q9Y2Y9	31,180
Q8TD94	33,094
P49674	47,315
Q5JT82	42,577
A0A0U1RQI7	112,602
Q9HCP0	48,511
Q13351	38,221
P57682	38,829
Q9Y6M4	51,389
O43474	54,671
Q13887	50,792
Q99612	31,865
O75840	33,362
Q8TAV5	15,559
Q16322	57,785
O95600	39,314
Q13886	27,235
Q14722	46,563
Q6JEL2	68,942
Q9NVR0	80,148
Q13303	41,000
Q53G59	63,277
O43448	43,670
Q9P2N7	73,868
Q9P2G3	70,714
Q96M94	69,775
Q14012	41,337
P32297	57,480
Q9UNA3	39,497
P78314	62,244
Q70Z44	50,191
Q9Y276	47,534
Q9Y478	30,382
Q96GS6	33,990
Q9H0C2	35,022
Q7Z6A9	32,834
P10323	45,847
Q9P287	35,979
C9JUS6	16,532
P68133	42,051
Q9BXK5	52,723
Q8TDY3	41,702
Q495B1	57,550
Q5TBC7	17,725
Q9BYD9	41,008
Q96NN9	66,791
Q3SY69	101,746
P42330	36,853
Q9Y672	58,121
Q9Y243	55,775
Q13444	92,959
O43687	11,465
P20292	18,157
Q9NZK5	58,934
Q8IZF3	77,719
Q8N556	80,725
Q8IZF6	333,368
P51826	133,503
P51816	144,771
Q6NVV9	47,181
O00253	14,440
Q01668	245,141
P50052	41,184
Q6UXT8	14,269
Q8IY63	106,574
P51828	120,308
H3BU77	8,104
O95394	59,852
Q5BKT4	55,606
Q9UL18	97,214
Q9BXL7	133,284
Q5EG05	22,625
Q6ZN18	54,467
Q8TD06	19,171
Q86SQ6	60,885
Q96LW7	25,589
O14514	173,501
Q8IWF9	48,851
Q9BXJ3	35,256
Q9BT22	52,518
Q9ULC5	75,991
O15033	94,223
Q99767	82,512
Q02410	92,865
O00213	77,244
Q9NYG5	9,841
Q6ZSZ5	151,642
O14520	37,232
Q96DR7	97,346
O43315	31,431
A6NL99	37,357
P53367	41,738
Q4KMQ2	106,165
Q9GZV1	39,859
Q96LA8	41,938
Q96KC2	20,375
P56559	21,487
Q6ZTQ4	97,977
Q8IX05	26,183
P18846	29,233
P11802	33,730
P0C7U1	19,025
Q00535	33,304
P51677	41,044
P49336	53,284
P20963	18,696
P17544	51,757
P29965	29,274
O75956	13,101
Q9UBL3	68,723
Q8WXK4	33,943
Q5VV42	65,111
Q08722	35,214
Q8WXK3	30,007
Q9BPX3	114,334
A6NK59	65,331
O75390	51,712
Q8TDQ1	32,335
Q9UJS0	74,176
Q496F6	22,918
P42695	168,891
Q96NS5	49,637
Q9BVC5	25,858
Q96KN2	56,692
Q6UXG3	36,060
Q6PIY5	48,855
Q9H765	31,642
Q9H672	36,011
Q16515	57,709
Q9Y574	48,195
Q5H9R4	235,964
O75829	37,102
Q7RTU5	29,462
Q92989	47,646
Q9NSK7	16,286
P20648	114,119
P56381	5,780
Q8NHH9	66,229
Q9UNA0	101,718
O43313	88,348
Q9P2N4	216,491
Q8TDH9	21,609
Q6AI39	115,084
O60238	23,930
Q86Y30	12,114
P38398	207,721
Q9NY30	25,970
Q9P2B4	70,158
Q8TAM1	80,838
Q6ZW61	79,085
P0C853	11,579
Q9BXC9	79,844
Q9BPU9	19,261
P35222	85,497
Q86V15	190,069
P05937	30,025
Q3KRA6	14,609
Q8WU43	9,962
P47755	32,949
P52907	32,923
O14958	46,436
Q4V339	43,964
A0A1B0GVQ3	19,413
Q5T5S1	62,689
Q15878	261,731
Q9P0X4	245,103
A0A096LP49	114,856
Q9NV96	40,684
Q6NZI2	43,476
Q86Y37	41,064
P49069	32,953
Q9HC52	43,396
P55287	87,965
Q96M95	38,019
Q96HJ3	43,225
Q9P1Y5	134,750
Q8N688	8,105
Q96HQ2	13,196
Q9NZP8	53,498
P08185	45,141
Q1T7F1	8,815
Q16581	53,864
Q8TAB5	24,968
Q9BUX1	24,418
Q2TBE0	103,787
P38936	18,119
Q6ZW13	33,511
P23508	93,027
Q8TE59	134,048
O15072	135,603
Q9NR09	530,269
Q9UHQ4	28,320
Q9H4G1	17,276
Q5W186	18,135
Q14692	145,807
Q9HBH7	14,860
Q8WV28	50,466
O43709	31,880
Q9NYF8	106,122
A6NCI8	100,170
P22681	99,633
A6NNP5	25,253
Q5TID7	60,103
O00257	61,368
O95180	259,163
Q8WWF8	24,229
Q6IMN6	125,925
P54284	54,532
A6NKD9	45,210
Q969G5	27,701
Q8NCB2	54,354
Q9Y3M2	14,470
A6NI87	27,343
Q6P1S2	33,765
P43155	70,858
Q8N5N4	15,686
A6NI79	34,796
Q9BXJ5	29,952
Q8N4S0	64,002
Q9NS85	37,563
Q9P2D1	335,927
Q9Y3E7	25,073
Q99675	38,242
P02746	26,722
Q8N5C1	35,170
P29016	36,939
Q49A92	59,434
Q8TCG5	90,989
Q6UW02	52,432
Q96A83	45,381
O15528	56,504
Q9GZT9	46,021
O15523	73,154
O43237	54,099
Q8N465	56,416
P0CG12	51,391
P37059	42,785
P31689	44,868
Q8WWF6	16,559
P22083	59,084
O75937	29,842
O75907	55,278
Q07507	24,005
O60832	57,674
O15121	37,866
Q14689	170,369
Q9P265	171,492
P59910	36,118
Q9UBS4	40,514
O95661	25,861
O75165	254,415
Q6Y2X3	78,569
Q9H4A9	53,365
Q8IY82	103,497
Q5VUJ9	29,714
Q9Y2H6	131,852
Q9UBX2	44,940
Q8NAU1	23,659
P0DN84	3,836
Q14195	61,963
Q6PKH6	24,863
Q8TE96	79,476
Q9NZW4	131,151
Q8TF40	130,555
Q8TEK3	164,856
O95995	56,356
Q9NX74	55,050
Q8WXX0	461,159
Q9HCM4	81,856
Q9Y2J2	120,678
Q9H329	99,712
Q902F8	79,168
Q63HQ2	111,271
P06733	47,169
A6NL82	15,996
A6NE01	262,758
P50502	41,332
Q9NZ08	107,235
Q7Z4H9	28,021
P12104	15,207
Q9UGQ2	18,470
Q9Y6R7	572,017
O60427	51,964
Q9UKB1	62,091
P21802	92,025
P35555	312,298
Q9UP38	71,158
Q7L622	80,504
Q9UBS5	108,320
Q9HCQ5	68,359
O95876	85,084
Q13066	12,786
A6NGK3	12,704
Q8N292	17,883
Q6UWH4	57,552
P54826	35,693
E5RQL4	16,268
P08238	83,264
P35914	34,360
Q92902	79,292
P05114	10,659
P05204	9,393
Q15651	10,666
Q6NT76	47,278
O00479	9,539
O75506	8,544
P82970	31,525
Q4ZHG4	205,558
Q9BVV2	36,526
Q13461	33,234
Q6PJQ5	35,924
Q9NXN4	56,225
P36542	32,996
P08686	55,887
Q02318	60,235
Q9HCG8	105,466
Q9BQA9	20,774
Q99895	29,484
Q96PZ7	388,736
Q96Q35	52,439
Q8NEC5	90,091
P49447	27,559
P04626	137,910
Q969M2	61,872
Q92905	37,579
Q8NFF5	65,266
A0A1B0GTR3	12,028
Q8WVB6	107,383
P0DPH9	12,028
Q02221	10,815
Q6IPR1	10,864
Q5JUQ0	31,968
P0CG13	13,314
Q6YFQ2	10,529
Q99627	23,226
P61073	39,746
Q96KN9	40,140
A6NN92	23,755
Q8N4M1	73,783
P36383	45,470
Q8IWA5	80,124
P00167	15,330
O43927	12,664
O95715	13,078
Q8WU58	59,652
Q9H2A7	27,579
P26232	105,313
Q8IWN6	13,808
A6NKX1	13,778
F5H4B4	66,188
Q96M60	59,956
Q03468	168,416
Q8TBF8	42,392
Q86W67	23,752
Q96LP2	52,022
Q13216	44,055
Q86UY5	47,458
P0C875	38,070
H3BQW9	12,972
Q5T0W9	114,799
Q4G0N7	8,717
Q2M2I3	51,780
P24390	24,542
A2RU67	67,039
Q8NEG4	55,486
A0A1B0GUQ0	8,715
Q6ZRV2	127,122
Q8N8J7	14,653
P0C7U9	31,739
Q96D05	13,238
Q96GI7	19,569
O43731	25,027
B9A014	29,214
A0A494C0Y3	24,283
Q58FF3	45,859
A0A494C0N9	24,352
Q9UBU6	44,123
P0DSO1	26,153
P00740	51,778
Q9UBC2	94,255
P22413	104,924
Q6IPT2	27,609
P62495	49,031
B3EWF7	35,169
Q8N5Q1	99,915
Q96KD3	38,946
P0C5J1	36,771
Q9NVL1	18,454
A6NEL3	18,478
Q05BU3	4,003
Q14507	17,646
P56851	17,584
Q86YD7	49,793
Q658T7	50,084
Q96L91	343,489
A8MXJ8	49,840
P16930	46,374
A6NKC0	49,804
A6NJQ4	49,661
A6NNJ1	49,738
A6NDY2	49,635
Q13822	98,994
A8MX19	49,786
P0C7W8	49,853
P0C7W9	49,953
A6NEW6	49,759
A6NE21	49,680
P0C7V4	49,895
A6NIJ5	50,026
A8MWA6	49,874
A8MXZ1	49,910
P0C7X0	49,829
O00519	63,066
D6RGX4	49,883
A6NNH2	49,646
A6NDY0	30,386
Q658Y4	93,909
P0C866	30,847
Q6GMR7	58,304
O14638	100,124
Q14236	17,843
Q99814	96,459
Q96KT0	11,632
Q9Y6X5	51,641
P03951	70,109
Q9H2F5	93,463
Q52LR7	91,095
Q6UWV6	51,494
P00748	67,792
P16422	34,932
Q14264	67,942
O94988	116,932
Q9NYF5	104,543
Q9Y4B6	169,007
Q9UNN8	26,671
O43768	13,389
Q9NUI1	30,778
Q9H816	60,002
P02751	272,320
P51397	11,165
Q9H295	53,393
Q92841	80,272
P01036	16,214
P01040	11,006
P56177	27,320
P49411	49,542
Q9Y6B2	20,876
P19419	44,888
Q9NZN4	61,161
Q9NZN3	60,887
Q9Y3B6	23,061
Q8IZ08	51,736
Q6DWJ6	40,679
Q8NGU9	46,353
Q8TDV0	46,637
Q7Z3F1	96,919
Q8NFN8	89,097
Q5UAW9	36,623
Q5T848	135,489
A6NFE3	14,721
P12724	18,385
B6SEH8	52,557
Q14674	233,175
B1AK53	91,733
Q9UHL3	34,712
P0C7A2	43,591
P15104	42,064
Q96GL9	17,641
P84090	12,259
Q9H8M9	17,470
P58658	49,483
Q96KS9	24,182
Q9BZE7	24,956
Q5W0A0	81,686
P03372	66,216
Q7L0X2	75,255
Q96AP7	41,176
Q9UI08	44,620
Q9UJM3	50,560
Q9H501	98,796
O94905	37,840
Q9Y2D4	94,201
Q76MJ5	102,480
Q8WUF8	47,972
Q8TBP5	19,954
P10768	31,463
Q6NT32	63,926
O95571	27,873
Q9Y2C4	41,085
Q86XD5	35,769
Q8TAY7	28,710
P49326	60,221
Q6P3S6	77,839
O15520	23,436
P55899	39,743
Q92915	27,702
Q99689	45,119
Q9NPI8	42,254
Q8TB52	82,304
Q969Z0	70,738
O15287	68,554
Q8NGA4	30,291
Q9H0Q3	10,542
P07902	43,363
O14556	44,501
P62685	72,181
Q8NEA9	60,299
Q9UKD1	56,421
Q49A26	60,547
Q7Z4T8	51,427
Q5T6J7	20,578
B7ZAQ6	52,917
Q13515	45,880
A6NE02	52,471
Q14201	29,116
I3L3R5	30,352
Q8TC90	46,482
B7Z1M9	37,583
Q86VB7	125,451
Q5HYR2	20,139
Q96FZ7	23,485
Q9H7E9	24,993
Q9Y4M8	16,018
Q6NVV7	13,877
P15391	61,128
Q9H3R5	28,481
P49454	357,527
Q96KC8	63,883
Q96QD5	58,310
Q6PK57	11,596
Q9BWV3	58,455
Q9BPX7	46,451
Q5SZD1	26,754
P49366	40,971
Q13042	71,656
Q9H8X3	13,648
P30260	91,867
Q9NVM6	34,687
Q0VFZ6	66,403
O00622	42,027
Q14002	29,345
Q8NDM7	191,984
P31997	38,154
Q9UL16	65,730
Q15744	30,603
O94921	53,057
P30279	33,067
Q9BXL8	26,114
Q6ZTR5	361,625
P51671	10,732
P49716	28,467
Q16627	10,678
Q8WYQ5	86,045
Q6ZU64	217,250
A6NFT4	35,914
Q16589	38,866
Q9GZU0	27,083
Q00536	55,716
Q8NCR9	25,321
Q9Y2E4	170,767
Q96KA5	62,229
P18545	9,643
Q9UHD1	37,490
Q96JB5	56,921
Q9UDT6	115,837
Q03692	66,158
Q9BY84	73,102
Q9H2X0	102,032
Q8N3C7	76,317
P49759	57,291
Q01094	46,920
Q8IZS7	19,115
Q8IZ96	18,576
Q12860	113,320
P51793	84,917
O00716	49,162
O94779	120,686
Q9Y4K1	188,676
P22792	60,557
Q7Z449	61,987
Q96SW2	50,546
P52943	22,493
Q8WVH0	17,557
Q8IYJ1	61,864
P24468	45,571
P09669	8,781
P11509	56,517
A6NNT2	125,041
O14579	34,482
Q7Z4W1	25,913
Q14576	39,547
Q9BUP0	26,928
P0DMC3	6,622
Q9H201	68,222
Q86US8	160,462
O95925	15,284
Q5XKR9	13,109
Q12929	91,882
Q17R55	42,387
Q969W3	19,484
Q0Z7S8	15,093
Q86V42	60,104
Q9H098	15,558
Q8IYI6	81,799
Q96MZ4	17,021
P78312	139,988
P41162	57,001
Q5RKV6	28,235
P41161	57,838
Q9UBQ6	37,466
H0Y354	16,730
P07992	32,562
Q16394	86,255
P54764	109,860
Q9UF33	116,379
Q9NZY2	14,626
O95278	37,158
Q96AY3	64,245
P36888	112,903
Q6UN15	66,526
P36980	30,651
Q9BYE0	24,899
P31513	60,033
Q9NRD0	37,068
Q9UK73	70,264
A0PJY2	52,038
Q6UWX4	80,779
Q86XK2	103,585
Q9HB96	58,711
Q6X9E4	53,056
P11413	59,257
P09958	86,678
Q14802	9,263
O76087	12,978
P62683	74,000
O75593	39,257
O60548	48,748
O00358	38,076
Q12778	69,662
Q08050	84,283
Q9H334	75,317
O15409	79,919
P48723	51,927
Q99928	54,289
Q9H227	53,696
Q9BY60	13,976
P09681	17,108
Q14549	37,629
P0CG01	20,221
Q9P2W3	7,949
Q9NS71	20,331
Q8IWJ2	195,910
Q96PP9	73,165
O60234	16,801
O43555	12,918
Q9BVP2	61,993
Q9NYA3	79,946
A6NDN3	79,913
Q15825	56,898
P02708	54,546
Q5TH69	240,652
O95336	27,547
Q96NH3	144,756
Q9Y2T4	51,515
O60516	10,873
Q13542	12,939
Q13323	18,016
Q8TBE0	84,652
Q8N5Z0	47,352
P45954	47,485
Q92482	31,544
P55087	34,830
O15123	56,919
Q5H913	33,003
Q9H8G2	38,368
P01019	52,070
Q4LE39	147,809
Q8N4T4	38,295
Q8WZ64	193,452
Q15041	23,363
Q12955	480,410
Q68CP9	197,391
Q8IWZ3	269,458
Q13901	16,019
O95236	44,278
O14791	43,974
Q9BPW4	39,164
P27695	35,555
O43488	39,589
Q9BQD7	25,130
Q9Y2G4	79,971
P35626	79,710
O15143	40,950
A6NJG6	35,617
Q9H8Y5	80,927
A6NFN9	56,600
P04114	515,605
P49703	22,156
Q7Z6R9	49,578
P36405	20,456
P27338	58,763
P02647	30,778
P0DPI3	29,887
Q96BM9	21,416
P02652	11,175
Q16739	44,854
P19961	57,710
Q63HQ0	34,280
Q6ZTN6	58,476
A2A2Z9	118,231
P07199	65,171
Q9BXX3	158,835
Q9Y587	17,005
P08218	28,810
Q2VPB7	93,949
P09093	29,489
P39687	28,585
Q9H0R1	54,767
O43299	88,605
O43423	26,762
P08861	29,263
Q9H4A4	72,596
P0C6C1	58,256
P16066	118,919
A5PLL1	56,414
P54802	82,266
P23109	86,490
Q01433	100,688
Q8IWX8	103,702
O15519	55,344
Q5VYY1	21,849
Q6Q4G3	113,283
Q9H6X2	62,789
P58335	53,666
P50995	54,390
P27216	35,415
Q9C0F1	44,140
Q8N2Z9	15,893
P10275	99,188
Q9UNK9	75,276
Q86XS5	44,144
Q8NI99	51,694
P03950	16,550
Q9Y5C1	53,637
Q9BY76	45,214
Q71F23	47,522
Q96QE3	207,570
Q9UBL0	89,196
P51689	64,860
A4QMS7	16,991
Q5T5M9	42,581
Q9ULG3	46,740
Q86WG3	42,120
P00751	85,533
Q5T2N8	46,380
Q8IZR5	25,828
Q13535	301,367
O75061	99,997
P05177	58,407
Q96P44	99,369
Q9H1C7	10,631
Q5VTH9	94,573
Q6XZF7	177,347
Q9ULA0	53,410
P63172	12,452
Q9GZR5	36,829
Q16206	70,082
Q9H6Z9	27,261
Q06889	42,613
Q15768	35,835
Q8N4V1	14,686
P68104	50,141
Q5T1H1	350,796
O00167	59,232
O95208	68,482
A8MVW0	87,435
Q5XG92	63,529
A6NC97	41,969
A6NFU0	47,349
Q6ZU69	148,096
Q9NTX9	42,052
Q4G163	78,402
Q14254	47,064
Q92990	68,208
O75487	62,412
Q9Y2T5	41,354
P18283	21,954
Q08477	59,847
P13584	58,991
Q96JB2	94,096
Q9Y3A0	29,657
A8MPP1	101,811
Q9NR50	50,240
Q9NYP7	35,293
Q00013	52,296
Q5JST6	87,397
P41214	64,706
B3EWG5	9,320
Q96HJ9	12,749
O75344	37,214
Q5MNV8	51,968
P31994	34,044
P08620	22,048
O14842	31,457
P10767	22,905
Q9NW38	42,905
Q7L8L6	86,574
Q9HCM7	110,907
Q8IX29	34,588
P35556	314,775
Q96QI5	37,186
Q14289	115,875
Q5VWT5	82,070
Q13283	52,164
O95073	34,768
P49354	44,409
A8MTJ6	43,326
O15353	68,925
Q6ZUU3	18,625
Q12952	36,490
A0A1W2PRP0	25,969
O00591	50,640
P62873	37,377
P28476	54,151
Q14161	84,543
Q92538	206,446
P50151	7,205
Q96CN9	87,811
P50150	8,389
P16383	89,385
H3BQL2	71,644
Q0D2H9	48,423
P04921	13,811
Q8TBA6	83,024
P01148	10,380
Q5JWF2	111,025
Q9UJJ9	33,974
P19086	40,924
O95467	28,029
Q8TDU6	35,248
Q6UWK7	9,173
Q27J81	135,624
Q9Y2T3	51,003
P54840	80,989
P51841	124,850
P16403	21,365
Q7Z2Y8	279,048
P16401	22,580
P39086	103,981
A0A2R8Y619	13,491
Q6ZVF9	82,439
P43250	65,991
P16104	15,145
Q4G148	50,567
Q58FF7	68,325
O60814	13,890
Q5TEC6	15,430
P00390	56,257
Q14500	49,001
P49862	27,525
Q96QV6	14,234
Q9P0R6	15,648
P04908	14,135
Q13255	132,357
Q6Y1H2	28,368
P20671	14,107
Q9UKQ9	27,513
Q04695	48,106
Q15040	23,198
P03952	71,370
Q03721	69,767
Q8TAC2	20,756
Q86Z14	119,808
P05783	48,058
Q9NSA2	71,330
Q9UEF7	116,181
Q9HDC5	71,686
Q9UGQ3	54,539
Q6A163	55,651
Q13241	20,513
Q1ED39	51,589
Q9Y6J6	14,472
Q8WW33	19,266
P17535	35,174
P0C5Y9	12,697
Q9Y6H6	11,710
A6ND01	28,672
Q9NZS2	26,563
Q8WWG9	23,806
D3W0D1	24,008
P35527	62,064
Q9UJ90	14,993
Q96E93	21,831
Q9H3M0	55,584
P05412	35,676
Q15323	47,237
A4D1S0	42,851
Q9UIX4	57,913
Q14532	50,343
Q9UJ96	51,240
Q96J84	83,536
Q9UK76	16,015
Q8TAE7	49,593
Q9H910	20,063
Q8TDN1	58,979
P09105	15,508
Q6UWM5	27,151
Q7Z6J2	42,623
P60893	41,995
Q2KHT4	39,248
Q8TED1	23,881
P02008	15,637
Q96EW2	55,167
Q969F8	42,586
P48668	60,025
Q92628	154,789
P48048	44,795
Q9H9Y4	34,561
P47775	36,730
P46089	35,010
O15529	38,695
Q9Y5Y3	41,967
Q4V328	96,006
Q8TC17	13,442
Q13588	25,337
P26927	80,320
Q04756	70,682
Q68DL7	77,230
Q8N6Q3	46,363
P0CG36	24,642
Q9UHN6	154,374
Q08211	140,958
Q9UEE9	33,593
Q92879	52,063
Q9NSP4	19,737
A6NJW9	23,703
Q13316	55,782
O95674	51,418
Q9H3Z4	22,149
Q12834	54,723
Q96NB1	19,778
Q9Y6K0	46,554
Q9C0D2	295,176
P07315	20,879
P24903	55,501
P24387	36,144
Q8N684	52,050
Q8N1N5	48,076
Q8TEY5	43,432
Q2VPA4	62,714
P39060	178,188
P46109	33,777
O15431	21,091
O14548	12,615
Q8NI60	71,950
Q8N9R0	15,610
P32519	67,498
P04118	11,954
C9J442	27,532
Q96NX9	65,323
O76096	16,454
Q9H4E7	73,910
Q96J86	16,626
Q9H2U1	114,760
Q8NFT8	78,475
Q6P158	155,604
Q8IX18	88,560
Q14332	63,554
Q9Y231	42,071
Q9BTY2	54,067
Q9NPG1	76,263
P51570	42,272
P04066	53,689
Q9ULV1	59,881
Q01415	50,378
Q9BT04	45,679
Q5H8C1	244,154
Q13467	64,507
Q96A29	39,809
Q4VC44	80,108
Q5SZK8	351,167
Q96CP2	14,564
O60353	79,292
Q96C23	37,766
O43826	46,360
P0C091	238,179
P57057	57,648
O75084	63,620
Q8TED4	54,436
Q9H461	73,300
P34059	58,026
O00144	64,466
Q9NU39	43,610
Q9UBC7	12,545
Q6VB84	45,820
Q8WXT5	45,892
Q14331	29,172
Q5VV16	45,780
Q99999	48,764
Q3SYB3	45,787
P47211	38,953
Q9H3Q3	46,110
O43603	41,700
Q96QU4	30,564
Q96A11	48,956
A6NGY1	30,798
P62684	74,038
Q64ET8	30,490
O60755	39,573
Q96RP7	54,166
Q99501	72,717
Q9UM11	55,179
Q8NHY3	96,520
Q8TAE8	25,384
Q86XJ1	75,214
Q96IV6	39,002
P27469	11,321
P24522	18,336
Q10472	64,219
O75293	17,818
Q9NXK8	37,026
O95866	26,163
Q96N19	46,059
Q8N1E6	45,886
O95257	17,121
O60478	45,599
Q10471	64,733
Q9H469	32,998
Q8N3F9	47,075
P35575	40,484
O95177	12,619
Q14435	72,610
Q13480	76,616
Q9NQR9	40,580
Q9UF56	75,695
Q96AE4	67,560
Q96ME1	88,341
Q6E0U4	47,082
Q7Z6W7	35,434
Q5TB30	92,960
Q6PCT2	75,707
Q8N4A0	66,666
O76075	39,110
Q8NHS0	25,686
Q8WWW8	65,589
Q96IG2	48,423
Q92945	73,115
Q2WGN9	62,367
Q9UKT6	49,152
Q7Z7M9	106,266
